Instrument,Employee Safety Initiative Participation,Risk Assessment Health and Safety,Safety Performance Monitoring,Communication of Supply Chain Policy,Findings from Supplier Monitoring,Social Supply Chain Policy,Social Supply Policy Integration,Social Supply Risk Assessment,Policy Local Sourcing,Temporary Staff Proportion,Number of Employees,Part Time Employees,UNGC Violation Flag,Health & Safety Policy,Policy Employee Health & Safety,Policy Supply Chain Health & Safety,Training and Development Policy,Policy Skills Training,Policy Career Development,Policy Diversity and Opportunity,Targets Diversity and Opportunity,Employees Health & Safety Team,Health & Safety Training,Supply Chain Health & Safety Training,Supply Chain Health & Safety Improvements,Employees Health & Safety OHSAS 18001,Employee Satisfaction,Salary Gap,Salaries and Wages from CSR reporting,Net Employment Creation,Number of Employees  from CSR reporting,Trade Union Representation,Turnover of Employees,Announced Layoffs To Total Employees,Announced Layoffs,Management Departures,Strikes,Women Employees,New Women Employees,Women Managers,HRC Corporate Equality Index,Flexible Working Hours,Day Care Services,Employees With Disabilities,Employee Health & Safety Training Hours,Injuries To Million Hours,Total Injury Rate Total,Total Injury Rate Contractors,Total Injury Rate Employees,Accidents Total,Contractor Accidents,Employee Accidents,Occupational Diseases,Employee Fatalities,Contractor Fatalities,Lost Days To Total Days,Lost Time Injury Rate Total,Lost Time Injury Rate Contractors,Lost Time Injury Rate Employees,Lost Working Days,Employee Lost Working Days,Contractor Lost Working Days,HIV-AIDS Program,Average Training Hours,Training Hours Total,Training Costs Total,Training Costs Per Employee,Internal Promotion,Management Training,Supplier ESG training,Wages Working Condition Controversies,Wages Working Condition Controversies Count,Diversity and Opportunity Controversies,Employees Health & Safety Controversies,Recent Wages Working Condition Controversies,Recent Diversity Opportunity Controversies,Recent Employee Health & Safety Controversies,Employee Resource Groups,BBBEE Level,Gender Pay Gap Percentage,Voluntary Turnover of Employees,Involuntary Turnover of Employees,OHSMS Certified Percentage,Average Employee Length of Service,Ethnic Minorities Employees Percentage,Asian - Ethnic Minorities Employees Percentage,Black or African American - Ethnic Minorities Employees Percentage,Hispanic or Latino - Ethnic Minorities Employees Percentage,White - Ethnic Minorities Employees Percentage,Other - Ethnic Minorities Employees Percentage,Ethnic Minorities Managers Percentage,Asian - Ethnic Minorities Managers Percentage,Black or African American - Ethnic Minorities Managers Percentage,Hispanic or Latino - Ethnic Minorities Managers Percentage,White - Ethnic Minorities Managers Percentage,Other - Ethnic Minorities Managers Percentage,Ethnic Minorities Salary Gap
BATS.L,False,True,True,False,False,False,False,True,False,0.46,51809,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,79.0,153.748975708502,,-6.36194400766326,52050,32.0,9.1,0.0,,False,False,32.0,,39.0,100,True,True,,,1.18156,1.18156,,,123.0,,,0.0,1,2,,1.0,,,,,,True,,931695.0,13658990,356.680259626706,False,True,True,False,,,,,,,True,,,9.1,,,,,,,,,,,,,,,,
PSON.L,False,False,False,False,False,False,False,False,True,3.0,20744,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,,107.990376556777,,-2.77009608624327,20744,,33.0,0.0,,False,False,59.0,60.0,50.0,100,True,False,,,2.69958,2.69958,,2.7,112.0,,112.0,0.89182,0,,,0.81951,,0.82,,,,False,,,,,True,True,True,False,,,,,,,True,,87.0,23.0,10.0,,6.9,31.0,9.0,10.0,9.0,69.0,3.0,21.0,11.0,4.0,4,79.0,2.0,
PCT.L,,,,,,,,,,,0,,False,,False,False,,False,False,False,False,False,False,False,False,False,,,,,0,,,0.0,,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,False,,,,,False,False,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,
SPX.L,,,,,,,,,,,7891,,False,True,True,True,True,True,True,True,False,True,True,True,False,True,,29.7372371634169,,0.74045704072514,7846,,,0.0,,False,False,23.40046,,20.358,,False,False,,129106,,,,,,,,,0,,,,,,,,,False,,,,,True,True,True,False,,,,,,,False,,85.5,,,65.625,,,,,,,,,,,,,,
PSN.L,,,,,,,,,,,5121,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,78.0,52.1997901185771,,-0.678820791311097,5121,,,0.0,,False,False,27.0,,28.0,,True,False,,7320,,,,,13.0,,13.0,,0,0,,2.0,,2.0,,,,False,20.621,105600.0,,,True,True,True,False,,,,,,,False,,81.9,,,,,,,,,,,,,,,,,
RIO.L,,,,,,,,,,,49345,,True,True,True,True,True,True,True,True,True,True,True,False,False,True,71.0,44.7622610194087,5513000000,3.94110460462569,49000,,8.7,0.0,,True,True,21.6,32.0,27.4,,True,False,,,2.0,2.0,2.25,1.7,,,167.0,0.77,0,0,,1.25,,,,,,True,20.7,1014300.0,,,True,True,True,False,,1,,,,,False,,57.2,,,,,,,,,,,,,,,,,
CCH.L,,,,,,,,,,,26787,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,88.0,110.900079787234,1015200000,-3.37277252723469,26787,50.0,13.1,0.0,,False,False,29.0,36.0,39.0,,True,False,0.8,,1.55394,1.55394,1.79,1.51,97.0,16,81.0,0.01,0,3,,1.29762,1.45,1.25,,,,True,29.3,796942.0,,,True,True,True,False,,,,,,,False,,111.0,9.9,3.2,98.14815,,,,,,,,,,,,,,
ALWA.L,,,,,,,,,,,3,2,False,,False,False,,False,False,True,False,False,False,False,False,False,,,,0.0,5,,,0.0,,False,False,60.0,,33.333,,True,False,,,,,,,,,,,,,,,,,,,,False,,,,,False,False,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,
RR.L,False,False,True,False,False,False,False,False,False,,48200,,False,True,True,True,True,True,True,True,True,False,True,True,False,True,73.6,17.1316042267051,,-6.76982591876208,48200,,15.3,0.0,0,False,True,16.2,,19.6,100,True,False,,,1.75,1.75,,1.75,173.0,,173.0,,0,,,1.35,,1.4,,,,False,10.373,500000.0,13500000,382.957468879668,True,True,True,False,,,,,,,True,,,,,100.0,,,,,,,,,,,,,,
SN.L,,,,,,,,,,,17914,,False,True,True,False,True,True,True,True,False,True,True,False,False,True,,18.0390898706999,,1.57056188694222,18000,,,0.0,,True,False,42.0,,30.0,,True,False,,,1.5,1.5,,,,,,,0,0,,1.0,,,,,,False,,,,,True,True,False,False,,,,,,,False,,78.0,,,,,,,,,,,,,,,,,
