Instrument,Board Conflicts of Interest,Board Effectiveness Review,Board Oversight of Health and Safety,Board Related Party Transactions,Chief Legal Officer Report to Board,Code of Conduct Non-Compliance,Code of Conduct Oversight,Compliance Head Report to Board,C-Suite Risk Oversight,Chairperson Independent,Lead Independent Director,Bonus Cap Senior Executives,CEO Claw-Back,Executive Claw-Back,Executive Compensation Risk,Code of Conduct Claims,Targets Board Diversity Percent,Bonus Cap High Paid Staff,Bonus Cap Senior Executives Percent,Targets Board Diversity - Target Set Year,Targets Board Diversity - Target Year,Median Salary Gap,Current CEO Chairman Duality,Board Functions Policy,Corporate Governance Board Committee,Nomination Board Committee,Audit Board Committee,Compensation Board Committee,Board Structure Policy,Policy Board Size,Policy Board Independence,Policy Board Diversity,Policy Board Experience,Policy Executive Compensation Performance,Policy Executive Compensation ESG Performance,Policy Executive Retention,Compensation Improvement Tools,Internal Audit Department Reporting,Succession Plan,External Consultants,Audit Committee Independence,Audit Committee Mgt Independence,Audit Committee Expertise,Audit Committee NonExecutive Members,Compensation Committee Independence,Compensation Committee Mgt Independence,Compensation Committee NonExecutive Members,Nomination Committee Independence,Nomination Committee Mgt Independence,Nomination Committee Involvement,Nomination Committee NonExecutive Members,Board Attendance,Number of Board Meetings,Board Meeting Attendance Average,Committee Meetings Attendance Average,Board Size More Ten Less Eight,Board Size,Board Background and Skills,"Board Gender Diversity, Percent","Board Specific Skills, Percent",Average Board Tenure,Non-Executive Board Members,Independent Board Members,Strictly Independent Board Members,CEO Chairman Duality,CEO Board Member,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
RR.L,True,True,True,False,False,True,True,True,True,True,False,True,True,True,False,,33,,,2020,2025,76.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,85.7143,False,True,85.7143,100.0,True,100.0,93.75,True,0.0,93.75,True,8,95.19,96.0,3,13,True,38.4615384615385,44.4444444444444,4.83333333333333,83.3333333333333,83.3333333333333,,False,True,False,1.77777777777778,True,9,1,True,False,22741000.0,9261953.4,True,False,True,True,1703301.1,0,False,,,15.3846153846154,28.5714285714286,,,2027.18844713853,,,,,,
SN.L,,,,,False,,,True,,True,,,,,,,,,,,,49.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,83.3333333333333,False,True,83.3333333333333,100.0,True,100.0,100.0,True,0.0,100.0,True,8,97.78,96.15,1,11,True,27.2727272727273,41.6666666666667,4.1875,83.3333333333333,83.3333333333333,83.3333333333333,False,True,False,1.25,True,999,1,True,False,22456190.4711,,True,False,True,True,1571313.5289,0,False,,,45.4545454545455,42.8571428571429,,66.6666666666667,4308.55534748657,,,,,,
SSE.L,,,,,False,,,True,,False,,,,,,,,,,,,,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,83.3333,True,True,100.0,80.0,True,100.0,81.8182,True,0.0,81.8182,True,7,98.72,98.94,1,11,True,36.3636363636364,50.0,7.22916666666667,75.0,50.0,50.0,False,True,False,2.0,False,999,3,True,False,11100000.0,4148856.9,True,False,True,True,1372388.4,0,False,,,9.09090909090909,25.0,,,1626.04007969061,10.0,,,,90.0,10.0
SMT.L,,,,,False,,,False,,True,,,,,,,,,,,,,False,False,False,True,True,False,True,False,False,True,True,False,False,False,False,False,False,True,100.0,True,True,100.0,,True,,100.0,True,0.0,100.0,False,6,,100.0,3,5,True,40.0,33.3333333333333,7.125,100.0,100.0,66.6666666666667,False,,False,0.833333333333333,True,999,1,False,True,,,False,False,False,False,372859.74,,False,,,,,,,,,,,,,
KGF.L,,,,,False,,,True,,True,,,,,,,,,,,,,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,31,96.11,95.71,0,9,True,44.4444444444444,50.0,2.8,80.0,70.0,70.0,False,True,False,2.7,True,999,1,True,False,9775200.0,2269325.24,True,False,False,True,1130140.96,0,False,,,11.1111111111111,15.3846153846154,,,791.963055983148,,,,,,
LLOY.L,True,True,False,False,False,True,True,True,True,True,False,True,False,True,True,,,200,140,,,225.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,85.7142857142857,True,True,100.0,83.3333333333333,True,100.0,100.0,True,0.0,100.0,False,10,98.0,98.0,0,10,True,40.0,71.4285714285714,4.80357142857143,78.5714285714286,71.4285714285714,71.4285714285714,False,True,False,1.78571428571429,True,999,1,True,False,22393000.0,7472066.7,True,False,True,True,3527010.3,0,False,,,20.0,21.4285714285714,,,556.638246041413,,,,,,
NWG.L,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,355.0,40,,100,2022,2025,119.0,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,11,99.16,99.34,1,11,True,45.4545454545455,58.3333333333333,5.60416666666667,83.3333333333333,83.3333333333333,83.3333333333333,False,True,False,1.83333333333333,True,999,1,True,False,22888000.0,6349715.3,True,False,True,True,3104090.2,0,False,,,18.1818181818182,29.4117647058824,,,1609.2244955354,,,,,,
SDR.L,True,True,False,False,False,True,False,True,True,False,False,False,True,False,False,,,,,,,,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,20.0,100.0,True,14,100.0,97.12,2,12,True,50.0,41.6666666666667,5.5625,83.3333333333333,58.3333333333333,58.3333333333333,True,True,True,0.666666666666667,True,999,1,True,False,12439000.0,11410358.6,True,False,True,True,2080760.2,0,False,,,,27.7777777777778,,,4203.0748437236,17.0,,,,,
NXT.L,,,,,False,,,True,,False,,,,,,,,,,,,,False,False,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,100.0,True,True,100.0,80.0,False,83.3333,83.3333,True,0.0,83.3333,True,10,100.0,100.0,0,10,True,40.0,60.0,6.775,50.0,50.0,40.0,False,True,False,0.6,True,999,1,True,True,8842000.0,4908056.4,True,False,False,True,845413.4,0,False,,,10.0,50.0,,,2501.69760072431,,,,,,
ITRK.L,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,,,,,,,89.0,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,5,100.0,100.0,0,10,True,30.0,40.0,4.4,80.0,80.0,80.0,False,True,False,1.4,True,999,1,True,False,13208000.0,3610954.5,True,False,True,True,1079052.4,0,False,,,20.0,11.7647058823529,,,4136.67825487801,18.0,18.0,,,82.0,
BTRW.L,True,True,True,False,False,True,True,True,True,True,False,False,True,False,False,,,,,,,,False,False,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,7,100.0,96.0,0,9,True,33.3333333333333,55.5555555555556,7.22222222222222,66.6666666666667,55.5555555555556,44.4444444444444,False,True,False,0.222222222222222,True,3,1,True,False,8402000.0,3534402.5,True,False,True,True,971565.0,0,False,,,,20.0,,,1594.94295639629,,,,,,
SHEL.L,True,True,True,False,False,True,True,True,True,False,False,True,True,False,True,,,,200,,,,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,8,97.78,97.56,1,11,True,54.5454545454545,61.5384615384615,4.48076923076923,76.9230769230769,69.2307692307692,61.5384615384615,False,True,False,1.53846153846154,True,999,1,True,False,15698276.9,11731670.6,True,False,True,True,2729083.2,0,False,,,63.6363636363636,27.2727272727273,,44.4444444444444,41.1688972867506,,,,,,
GLEN.L,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,,,,,,,169.0,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,71.4286,False,85.7143,100.0,True,0.0,100.0,True,6,100.0,100.0,0,8,True,37.5,54.5454545454545,5.52272727272727,81.8181818181818,63.6363636363636,54.5454545454545,False,True,False,1.36363636363636,True,999,3,True,False,25550000.0,3208000.0,True,False,True,True,1450000.0,0,False,,,87.5,0.0,,50.0,125.398157555055,,,,,,
VOD.L,,,,,False,,,True,,True,,,,,,,,,,,,87.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,7,98.75,100.0,1,11,True,45.4545454545455,46.1538461538462,5.19230769230769,84.6153846153846,84.6153846153846,76.9230769230769,False,True,False,1.15384615384615,True,9,1,True,False,43797200.0341064,4981108.5,True,False,True,True,2372743.8,0,False,,,27.2727272727273,28.5714285714286,,25.0,999.730649731937,,,,,,
BARC.L,True,True,False,False,False,True,False,True,True,True,False,True,True,True,True,,,200,93,,,101.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,19,95.14,93.33,3,13,True,38.4615384615385,50.0,4.92857142857143,78.5714285714286,78.5714285714286,71.4285714285714,False,True,False,1.92857142857143,True,999,3,True,False,11187000.0,6286810.9,True,False,True,True,4174674.7,0,True,2,,30.7692307692308,15.3846153846154,,,393.008958369928,15.4,,,,84.6,15.4
FCIT.L,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,False,False,False,True,True,False,True,True,False,True,True,False,False,False,False,False,True,True,100.0,True,True,100.0,,True,,100.0,True,0.0,100.0,False,7,100.0,100.0,0,8,True,50.0,20.0,5.325,100.0,100.0,80.0,False,,False,0.4,True,999,1,False,True,,,False,False,False,False,478920.23,0,False,,,,,,,,,,,,,
UTG.L,,,,,False,,,True,,True,,,,,,,,,,,,,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,83.3333,True,True,100.0,100.0,True,100.0,90.0,True,0.0,90.0,True,11,100.0,100.0,0,9,True,33.3333333333333,63.6363636363636,5.68181818181818,81.8181818181818,72.7272727272727,54.5454545454545,False,True,False,1.0,True,999,1,True,False,2529460.0,1880260.42,True,False,True,False,771880.8602,0,False,,,,0.0,,,9477.18246534282,,,,,,
DPLM.L,,,,,False,,,True,,True,,,,,,,,,,,,,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,False,7,97.78,96.22,1,7,True,42.8571428571429,75.0,4.375,75.0,75.0,75.0,False,True,False,0.25,True,999,1,True,False,7019000.0,11763750.4,True,False,True,True,513283.2,0,False,,,,33.3333333333333,,,8914.14782829566,,,,,,
ICGIN.L,,,,,False,,,True,,False,,,,,,,,,,,,,False,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,75.0,True,0.0,75.0,True,9,98.89,98.11,1,11,True,45.4545454545455,36.3636363636364,3.52272727272727,63.6363636363636,63.6363636363636,54.5454545454545,False,True,False,0.545454545454545,False,999,3,True,True,11300000.0,8482490.19,True,False,False,False,1304733.51,0,False,,,,20.0,,,13474.83901741,,,,,,
BAES.L,True,True,True,True,False,True,True,True,False,True,False,True,True,True,False,,,,225,,,,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,83.3333333333333,True,100.0,100.0,True,0.0,100.0,False,8,98.06,99.15,4,14,True,35.7142857142857,43.75,4.046875,81.25,62.5,,False,True,False,1.3125,True,999,1,True,False,33252000.0,12935322.1,True,False,True,True,2039554.2,0,False,,,28.5714285714286,0.0,,100.0,1564.21112051933,,,,,,
