Instrument,Board Conflicts of Interest,Board Effectiveness Review,Board Oversight of Health and Safety,Board Related Party Transactions,Chief Legal Officer Report to Board,Code of Conduct Non-Compliance,Code of Conduct Oversight,Compliance Head Report to Board,C-Suite Risk Oversight,Chairperson Independent,Lead Independent Director,Bonus Cap Senior Executives,CEO Claw-Back,Executive Claw-Back,Executive Compensation Risk,Code of Conduct Claims,Targets Board Diversity Percent,Bonus Cap High Paid Staff,Bonus Cap Senior Executives Percent,Targets Board Diversity - Target Set Year,Targets Board Diversity - Target Year,Median Salary Gap,Current CEO Chairman Duality,Board Functions Policy,Corporate Governance Board Committee,Nomination Board Committee,Audit Board Committee,Compensation Board Committee,Board Structure Policy,Policy Board Size,Policy Board Independence,Policy Board Diversity,Policy Board Experience,Policy Executive Compensation Performance,Policy Executive Compensation ESG Performance,Policy Executive Retention,Compensation Improvement Tools,Internal Audit Department Reporting,Succession Plan,External Consultants,Audit Committee Independence,Audit Committee Mgt Independence,Audit Committee Expertise,Audit Committee NonExecutive Members,Compensation Committee Independence,Compensation Committee Mgt Independence,Compensation Committee NonExecutive Members,Nomination Committee Independence,Nomination Committee Mgt Independence,Nomination Committee Involvement,Nomination Committee NonExecutive Members,Board Attendance,Number of Board Meetings,Board Meeting Attendance Average,Committee Meetings Attendance Average,Board Size More Ten Less Eight,Board Size,Board Background and Skills,"Board Gender Diversity, Percent","Board Specific Skills, Percent",Average Board Tenure,Non-Executive Board Members,Independent Board Members,Strictly Independent Board Members,CEO Chairman Duality,CEO Board Member,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
SGRO.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJP.L,True,True,False,False,False,True,False,True,True,True,False,True,False,True,False,,40,,200,2024,2025,,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,False,6,100.0,95.95,0,8,True,50.0,90.0,3.325,70.0,70.0,70.0,False,True,False,0.5,True,999,1,True,False,10100000.0,4241176.4538,True,False,True,True,1612223.7595,0,False,,,,33.3333333333333,,,389.762746399518,,,,,,
TW.L,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,,40,,300,2022,2025,59.0,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,80.0,True,True,100.0,80.0,True,100.0,100.0,True,0.0,100.0,True,9,100.0,100.0,0,10,True,40.0,40.0,4.525,80.0,60.0,60.0,False,True,False,0.7,True,999,1,True,False,5300000.0,3835872.6,True,False,True,True,1014642.1,0,False,,,,33.3333333333333,,,1558.27355051158,11.1,,,,,
AHT.L,True,True,True,False,False,True,True,True,True,True,False,True,False,True,True,,,,225,,,81.0,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,87.5,True,0.0,87.5,True,55,46.32,97.01,0,9,True,44.4444444444444,44.4444444444444,6.41666666666667,77.7777777777778,77.7777777777778,77.7777777777778,False,True,False,1.0,True,999,1,True,False,11500070.078,9067740.0,True,False,True,True,1302707.0,0,False,,,44.4444444444444,0.0,,,1059.0650886386,11.0,,,,89.0,11.0
HLMA.L,True,True,True,False,False,False,False,True,False,True,False,False,True,True,False,,40,,200,2017,2025,,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,87.5,True,0.0,87.5,True,6,98.39,95.35,1,11,True,45.4545454545455,72.7272727272727,6.31818181818182,63.6363636363636,63.6363636363636,63.6363636363636,False,True,False,0.909090909090909,True,999,1,True,False,16581000.0,4444813.2,True,False,True,True,1133402.7,0,False,,,,50.0,,,8949.15803108808,18.0,18.0,,,82.0,
III.L,True,True,False,False,False,True,True,True,True,True,False,False,True,False,False,,,,,,,,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,88.8889,True,0.0,88.8889,False,7,100.0,97.92,0,10,True,50.0,58.3333333333333,5.89583333333333,66.6666666666667,66.6666666666667,58.3333333333333,False,True,False,1.33333333333333,True,999,1,True,False,54125000.0,10534848.6,True,False,True,True,1079137.5,0,False,,,20.0,10.0,,,11330.3328448817,,,,,,
HIK.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNA.L,True,True,True,False,False,True,True,True,True,True,False,False,True,True,False,,48,,,2023,2030,78.0,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,11,98.47,98.26,1,11,True,45.4545454545455,50.0,3.58333333333333,83.3333333333333,83.3333333333333,83.3333333333333,False,True,False,1.91666666666667,True,999,1,True,False,10687000.0,5407254.2,True,False,True,True,1485055.7,0,True,1,2,18.1818181818182,0.0,,,433.796070790713,9.0,9.0,,,91.0,
MNG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKGH.L,True,False,True,False,False,False,False,True,False,True,True,False,False,False,False,,,,,,,111.0,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,False,6,100.0,97.14,0,9,True,44.4444444444444,66.6666666666667,7.98333333333333,66.6666666666667,66.6666666666667,53.3333333333333,False,True,False,0.133333333333333,True,999,1,True,False,17764000.0,10024474.0,True,False,True,True,1198540.4,0,False,,,,33.3333333333333,,,7208.5379215193,,,,,,
