Instrument,Corruption Due Diligence,Corruption Intermediaries Procedures,Corruption Oversight,Corruption Procedures for High Risk Operations,Corruption Risk Assessment,Corruption Training,Principles for Community Investments,Supplier Policy Animal Welfare,Corruption Fines,Lobbying Controversies,Recent Lobbying Controversies,Policy Fair Competition,Policy Bribery and Corruption,Policy Business Ethics,Policy Community Involvement,Improvement Tools Business Ethics,Whistleblower Protection,OECD Guidelines for Multinational Enterprises,Extractive Industries Transparency Initiative,Total Donations To Revenues in million,Donations Total,Political Contributions,Lobbying Contribution Amount,Employee Engagement Voluntary Work,Corporate Responsibility Awards,Product Sales at Discount to Emerging Markets,Diseases of the Developing World,"Bribery, Corruption and Fraud Controversies",Intellectual Property Controversies,Crisis Management Systems,Anti-competition Controversies,Public Health Controversies,Business Ethics Controversies,Tax Fraud Controversies,Anti-Competition Controversies Count,Critical Countries Controversies,Critical Country 1,Critical Country 2,Critical Country 3,Critical Country 4,Critical Country 5,Recent Public Health Controversies,Recent Business Ethics Controversies,Recent Tax Fraud Controversies,Recent Anti-Competition Controversy,Recent Critical Countries Controversies,Recent Intellectual Property Controversies
LAND.L,True,False,True,False,False,True,True,False,,,,True,False,False,True,False,True,False,False,7511.04565537555,5100000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
BEZG.L,False,False,True,False,False,True,True,False,,,,False,True,False,True,False,True,False,False,97.3900726690479,474426,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
BP.L,True,False,False,True,True,True,True,False,,,,True,True,True,True,True,True,False,True,556.798172559844,117000000,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
JD.L,False,False,True,False,True,False,True,False,,,,False,True,False,True,False,True,False,False,,,0.0,,True,False,False,False,True,,True,True,,2,,3,,,,,,,,,,,,
ABF.L,True,True,True,True,True,True,True,True,,,,False,True,True,True,False,True,True,False,4556.96202531646,90000000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
AAL.L,True,True,True,True,True,True,True,False,,,,True,True,True,True,True,True,False,True,4828.39618948193,148000000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
ADML.L,False,False,True,False,False,True,True,False,,,,False,True,False,True,False,False,False,False,107.235730945551,400000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
RTO.L,True,True,True,True,True,True,True,False,,,,True,True,True,True,True,True,False,False,105.860465116279,569000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
RMV.L,False,True,True,False,False,True,True,False,0,,,False,True,True,True,True,True,False,False,642.299542155711,234000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
SBRY.L,False,False,False,False,False,False,True,False,,,,False,False,False,True,False,True,False,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
PHNX.L,True,True,False,False,False,False,True,False,,,,True,True,True,True,True,True,True,False,,470387,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
