Instrument,Employee Safety Initiative Participation,Risk Assessment Health and Safety,Safety Performance Monitoring,Communication of Supply Chain Policy,Findings from Supplier Monitoring,Social Supply Chain Policy,Social Supply Policy Integration,Social Supply Risk Assessment,Policy Local Sourcing,Temporary Staff Proportion,Number of Employees,Part Time Employees,UNGC Violation Flag,Health & Safety Policy,Policy Employee Health & Safety,Policy Supply Chain Health & Safety,Training and Development Policy,Policy Skills Training,Policy Career Development,Policy Diversity and Opportunity,Targets Diversity and Opportunity,Employees Health & Safety Team,Health & Safety Training,Supply Chain Health & Safety Training,Supply Chain Health & Safety Improvements,Employees Health & Safety OHSAS 18001,Employee Satisfaction,Salary Gap,Salaries and Wages from CSR reporting,Net Employment Creation,Number of Employees  from CSR reporting,Trade Union Representation,Turnover of Employees,Announced Layoffs To Total Employees,Announced Layoffs,Management Departures,Strikes,Women Employees,New Women Employees,Women Managers,HRC Corporate Equality Index,Flexible Working Hours,Day Care Services,Employees With Disabilities,Employee Health & Safety Training Hours,Injuries To Million Hours,Total Injury Rate Total,Total Injury Rate Contractors,Total Injury Rate Employees,Accidents Total,Contractor Accidents,Employee Accidents,Occupational Diseases,Employee Fatalities,Contractor Fatalities,Lost Days To Total Days,Lost Time Injury Rate Total,Lost Time Injury Rate Contractors,Lost Time Injury Rate Employees,Lost Working Days,Employee Lost Working Days,Contractor Lost Working Days,HIV-AIDS Program,Average Training Hours,Training Hours Total,Training Costs Total,Training Costs Per Employee,Internal Promotion,Management Training,Supplier ESG training,Wages Working Condition Controversies,Wages Working Condition Controversies Count,Diversity and Opportunity Controversies,Employees Health & Safety Controversies,Recent Wages Working Condition Controversies,Recent Diversity Opportunity Controversies,Recent Employee Health & Safety Controversies,Employee Resource Groups,BBBEE Level,Gender Pay Gap Percentage,Voluntary Turnover of Employees,Involuntary Turnover of Employees,OHSMS Certified Percentage,Average Employee Length of Service,Ethnic Minorities Employees Percentage,Asian - Ethnic Minorities Employees Percentage,Black or African American - Ethnic Minorities Employees Percentage,Hispanic or Latino - Ethnic Minorities Employees Percentage,White - Ethnic Minorities Employees Percentage,Other - Ethnic Minorities Employees Percentage,Ethnic Minorities Managers Percentage,Asian - Ethnic Minorities Managers Percentage,Black or African American - Ethnic Minorities Managers Percentage,Hispanic or Latino - Ethnic Minorities Managers Percentage,White - Ethnic Minorities Managers Percentage,Other - Ethnic Minorities Managers Percentage,Ethnic Minorities Salary Gap
SGRO.L,True,True,False,False,False,False,False,False,True,3.0,323,,False,True,True,True,True,True,True,True,False,True,True,True,False,True,,232.103586956522,,4.87012987012987,332,0.0,8.0,0.0,,False,False,49.0,,33.0,,True,False,,,0.0,0.0,,0.0,0,,0,0.0,0,,0.0,0.0,,0.0,0.0,0.0,,False,10.563,3507.0,,,False,True,True,False,,,,,,,False,,50.0,5.0,3.0,,,,,,,,,,,,,,,
SJP.L,,,,,,,,,,,2818,,False,True,True,False,True,True,True,True,True,False,False,False,False,False,86.0,11.5557253416149,,6.98557327258922,2818,,,0.0,,False,False,50.887,,22.549,,True,False,,,,,,,,,,,,,,,,,,,,False,,,,,False,True,False,False,,,,,,,False,,60.6,,,,,,,,,,,,,,,,,
TW.L,,,,,,,,,,,6029,,False,True,True,True,True,True,True,True,True,True,True,False,False,True,,21.7719217308304,,-1.51911140150278,6029,,9.4,0.0,,False,False,30.0,,28.0,,True,False,,,,,,,,,,,0,0,,,0.93,1.0,,,,False,17.485,104000.0,,,False,True,True,False,,,,,,,True,,106.0,9.4,,,,4.0,,,,,,,,,,,,
AHT.L,,,,,,,,,,,19284,,False,True,True,False,True,True,True,True,False,True,True,False,False,True,,48.3869557726044,,8.31882267033646,19290,,13.0,0.0,,False,False,10.0,,11.0,,False,False,,,6.117,6.117,,6.11716,236,,236,,,,,3.577,,3.57698,,,,False,,,,,True,True,False,False,,,,,,,False,,95.0,,,,,,,,,,,,,,,,,
HLMA.L,False,False,True,False,False,True,False,True,False,,6749,,False,True,True,False,True,True,True,True,True,True,True,False,False,True,75.0,76.903590778098,,6.4343163538874,6000,,,0.0,,False,False,42.0,,24.0,,False,False,,,31.0,31.0,,31.0,372,,372,,0,,0.000133945769744,0.9,,0.9,226.0,226.0,,False,,,,,True,True,False,False,,,,,,,True,,,,,16.0,,,,,,,,,,,,,,
III.L,,,,,,,,,,,240,,False,True,True,False,True,True,True,True,False,True,True,False,False,True,,22.7768674698795,,-0.414937759336098,240,0.0,8.0,0.0,,False,False,40.0,58.0,23.684,,True,False,,,0.0,0.0,,0.0,0,,0,0.0,0,,0.0,0.0,,0.0,0.0,0.0,,False,,,,,True,False,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,
HIK.L,,,,,,,,,,,8578,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,69.0,73.3902997153846,,1.96125044573874,8600,,,0.0,,False,False,34.0,,,,False,False,,,,,,,,,,,,,,,,,,,,True,,,,,True,True,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,
CNA.L,,,,,,,,,,,25753,,False,True,True,True,True,True,True,True,True,True,True,True,False,False,,13.2935526315789,,-11.6444230967166,23846,81.0,15.0,0.0,,False,True,28.0,,28.0,,True,False,1.0,,5.15,5.15,,,,,,,0,0,,3.6,,,,,,False,,,,,True,True,True,True,1,,,,,,False,,79.0,8.0,7.0,,,13.0,,,,,,13.0,,,,,,92.0
MNG.L,,,,,,,,,,,6000,,False,True,True,True,True,True,True,True,True,False,True,True,False,False,68.0,38.2627986348123,,-5.2282419838888,5357,,,0.0,,False,False,45.0,,30.0,,True,False,,,,,,,,,,,,,,,,,,,,False,,,,,False,True,True,False,,,,,,,False,,75.0,,,,,,,,,,,,,,,,,
BKGH.L,,,,,,,,,,,2709,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,,81.2307817589577,,1.34680134680134,2844,,,0.0,,False,False,37.20113,,57.143,,True,False,,,0.585,0.585,,,3,,,,0,0,,,,,,,,False,,,,,True,False,True,False,,,,,,,False,,73.8,,,,,,,,,,,,,,,,,
NG.L,False,True,True,False,True,True,False,True,False,,22576,,False,True,True,True,True,True,True,True,False,False,True,False,False,True,73.0,62.9025954198473,,-1.94153672414542,22576,44.0,11.7,0.0,,True,False,24.3,,32.1,85,False,False,,,,,,,,,,,1,1,,1.0,,,,,,False,42.4,957222.4,,,True,True,True,False,,,,,,,True,,96.3,6.6,5.1,,,,,,,,,,,,,,,
RKT.L,False,True,True,False,True,True,False,True,True,17.98,43500,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,82.0,159.380258470895,,2.59433962264151,39577,20.0,14.0,0.0,,False,False,44.0,46.24249,30.0,10,True,False,,,1.5,1.5,,,142,,,,0,0,4.965517241e-06,0.57,,,54.0,,,True,7.08,264826.0,,,True,True,True,False,,,,,,,True,,95.0,9.0,5.0,96.0,,,,,,,,,,,,,,
WEIR.L,True,True,False,False,False,True,False,False,True,,13070,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,89.0,23.9675099979554,420500000,-11.0097365016681,13070,,,0.0,,False,False,15.0,,,,False,False,,,2.05,2.05,,2.05,54,,54,,0,,,,,,,,,False,,,,,True,True,False,False,,,,,,,False,,99.0,,,,,,,,,,,,,,,,,
IMI.L,,,,,,,,,,,11074,,False,True,True,True,True,True,True,True,True,True,True,False,False,False,,35.9716666666667,,0.975654235433576,10800,,,0.0,,False,False,27.0,,18.01,,True,False,,,,,,,,,,,0,,,0.59,,0.59,,,,False,1.944,21000.0,,,True,True,False,False,,,,,,,False,,65.5,,,,,,,,,,,,,,,,,
MRON.L,,,,,,,,,,,51395,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,,199.706285714286,,-8.37374313627611,51785,40.0,10.0,0.0,,False,False,20.0,,11.0,,False,False,,45144,,,,,,,,,0,0,0.000821789045627,1.5,,1.5,10558.962,10558.962,,False,,,8591293.0,228.560656073548,True,True,False,False,,,,,,,False,,,10.0,,75.0,,,,,,,,,,,,,,
HSX.L,False,True,False,False,False,False,False,False,False,,3100,,False,True,True,False,True,True,True,True,False,False,True,False,False,False,71.0,9.65933368172333,,-6.06060606060606,,,,0.0,,False,False,49.0,,,,True,False,,,,,,,,,,,,,,,,,,,,False,,,,,False,True,False,False,,,,,,,False,,73.9,,,,,,,,,,,,,,,,,
CPG.L,True,True,False,True,True,True,True,True,True,,548143,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,82.0,86.2191846616541,,-8.09939441899767,,,23.0,0.0,0,False,False,57.0,,38.0,80,False,False,,,8.93,8.93,,8.93,7311,,7311,,1,,,2.55,,2.55,,,,False,,,,,False,True,False,False,,,,,,,True,,83.3,23.0,,,,,,,,,,,,,,,,
AUTOA.L,,,,,,,,,,,799,,False,True,True,False,True,True,True,True,False,True,False,False,False,False,92.0,27.2516071428571,,-3.03398058252428,793,,,0.0,,False,False,38.966,,41.667,,False,True,,,,,,,,,,,0,,,,,,,,,False,,,,,False,True,False,False,,,,,,,False,,86.1,,,,,,,,,,,,,,,,,
AV.L,,,,,,,,,,,31181,,False,True,True,False,True,True,True,True,True,False,True,False,False,False,73.0,79.2847790909091,2036000000,-1.64653187395515,22400,,9.0,0.0,0,True,False,51.4,,31.0,,False,False,,,,,,,,,,,,,,,,,,,,False,,,,,False,True,False,False,,,,,,,False,,74.0,9.0,,,10.2,,,,,,,,,,,,,
ENT.L,,,,,,,,,,,24614,,False,True,True,False,True,True,True,True,False,True,True,False,False,False,74.0,184.757597644141,671200000,-3.71992959123802,24614,,44.0,0.0,,False,False,50.0,,40.3,,True,True,,,3.63614,3.63614,,3.636,179,,179,,,,,,,,,,,False,22.9,,1900000.0,102.348663362314,True,True,False,False,,,,,,,False,,82.0,33.0,11.0,,,,,,,,,,,,,,,
