Instrument,Audit Rotation,Disclosure of Voting Results,Shareholder Director Votes,AGM Date,AGM Notice Filing Date,Exchange Rate to USD,Sales in USD,Shareholder Rights Policy,Policy Equal Voting Right,Policy Shareholder Engagement,Dual Class Stock,Different Voting Right Share,Equal Voting Rights,Equal Shareholder Rights,Voting Cap,Voting Cap Percentage,Minimum Number of Shares to Vote,Director Election Majority Requirement,Shareholders Vote on Executive Pay,Public Availability Corporate Statutes,Veto Power or Golden share,State Owned Enterprise SOE,Anti Takeover Devices Above Two,Poison Pill,Poison Pill Adoption Date,Poison Pill Expiration Date,Unlimited Authorized Capital or Blank Check,Classified Board Structure,Staggered Board Structure,Supermajority Vote Requirement,Golden Parachute,Limited Shareholder Rights to Call Meetings,Elimination of Cumulative Voting Rights,Pre-emptive Rights,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
CNA.L,True,True,True,,,1,30822099600.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,True,True,,False,False,1.91666666666667,True,999,1,True,False,10687000.0,5407254.2,True,False,True,True,1485055.7,0,True,1,2,18.1818181818182,0.0,,,433.796070790713,9.0,9.0,,,91.0,
MNG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKGH.L,False,True,True,,,1,3077910700.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,1,,,,False,False,False,True,False,,,False,False,0.133333333333333,True,999,1,True,False,17764000.0,10024474.0,True,False,True,True,1198540.4,0,False,,,,33.3333333333333,,,7208.5379215193,,,,,,
NG.L,True,True,True,,,1,26712044700.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,False,True,,True,False,2.07142857142857,True,999,3,True,False,11386000.0,8956224.6,True,False,True,True,2620762.5,0,False,,,25.0,33.3333333333333,,,525.693707004017,16.7,,16.7,,83.3,
RKT.L,True,True,True,,,1,17726835900.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,True,True,False,,,False,False,1.75,False,999,1,True,False,46017481.0,7265252.8012,True,False,True,True,2480329.5209,,False,,,45.4545454545455,44.4444444444444,,85.7142857142857,3247.75785164796,10.0,,,,,
WEIR.L,False,True,True,,,1,3134756160.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,2,,,,False,False,False,True,False,True,,False,False,1.75,True,999,1,True,False,13100000.0,5181214.72753029,True,False,True,False,1249867.6665,0,False,,,22.2222222222222,25.0,,16.6666666666667,5228.28863346105,11.0,,11.0,,89.0,
IMI.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRON.L,True,True,True,,,1,4338814800.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,True,True,,False,False,0.692307692307692,True,999,1,True,True,212063000.0,71980787.4,True,False,True,True,1198553.8,0,False,,,,0.0,,,61148.5005767013,11.0,,,,,
HSX.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPG.L,True,True,True,,,1,42002000000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,False,True,,True,False,1.875,True,9,1,True,False,30619974.0,12700163.0,True,False,True,True,2262204.0,0,False,,,64.2857142857143,36.3636363636364,,50.0,729.01228512928,21.0,14.0,7.0,,79.0,
AUTOA.L,False,True,True,,,1,616896660.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,2,,,,False,False,False,True,False,,,False,False,0.444444444444444,True,999,1,True,False,5964000.0,1579857.3,True,False,True,True,661048.8,0,False,,,,50.0,,,11923.2307077169,11.11,11.11,,,88.89,
AV.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENT.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGE.L,False,True,True,,,1,20269000000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,True,,,False,False,2.36363636363636,True,999,1,True,False,2249011.8,3878565.6,True,False,True,True,44247.0,0,False,,,50.0,53.3333333333333,,53.8461538461538,110.95820218067,40.0,,,,,
GAW.L,False,True,True,,,1,669689230.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,1,,,,False,False,False,,False,,,False,False,0.0,True,999,1,True,False,3003000.0,2293020.0,True,False,False,False,456056.2,0,False,,,16.6666666666667,33.3333333333333,,,5712.38348868176,16.67,,,,,
INF.L,False,True,True,,,1,4445283410.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,False,True,,False,False,1.92307692307692,True,999,1,True,True,9990101.0,6865909.1878,True,False,True,True,1250797.2338,0,False,,,18.1818181818182,0.0,,,2811.65770735414,9.1,9.1,,,90.9,
UU.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSHP.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLN.L,False,False,True,,,1,14053606300.0,True,True,True,False,False,True,True,False,100,False,True,False,True,False,False,3,,,,,False,False,True,,True,,,False,1.14285714285714,True,999,1,True,False,46428100.0,11337468.2,True,False,True,True,1966604.09,0,False,,,,46.1538461538462,,,4133.18792842518,27.0,18.0,,,73.0,9.0
WTB.L,False,False,False,,,1,3736281770.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,2,,,,False,False,False,True,False,,,False,False,1.35714285714286,True,999,1,True,False,13145000.0,3111569.5,True,False,True,True,1457956.5,0,False,,,23.0769230769231,25.0,,,4441.02841312207,23.1,,,,,
PRU.L,True,True,True,,,1,11865000000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,True,False,,False,False,1.75,True,999,1,True,False,46306000.0,5836000.0,True,False,True,True,3194000.0,0,False,,,27.2727272727273,27.2727272727273,,30.0,3902.73914875685,64.0,,,,,
MKS.L,True,True,True,,,1,14714872290.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,False,True,,False,False,1.78571428571429,True,999,1,True,False,18126000.0,3125182.2,True,False,True,True,1571224.2,0,False,,,,30.0,,,1519.19740514445,,,,,,
IMB.L,True,True,True,,,1,43333507000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,True,True,,False,False,2.27272727272727,True,999,1,True,False,30682000.0,12142634.0,True,False,True,True,2163266.0,0,False,,,72.7272727272727,50.0,,50.0,946.653913794699,18.0,,,,,
