Instrument,Audit Oversight of Tax,Named Position for Tax Oversight,Tax Breakdown by Country,Tax Breakdown by Domestic or International,Tax Data Verification,Tax Fairness Commitment,Tax in Audit Tor,Tax Oversight by Board,Policy Tax Transparency,Taxes Align to Revenues,CSR Sustainability Committee,Integrated Strategy in MD&A,Global Compact Signatory,Stakeholder Engagement,CSR Sustainability Reporting,GRI Report Guidelines,CSR Sustainability Report Global Activities,CSR Sustainability External Audit,CSR Sustainability External Auditor Name,ESG Reporting Scope,ESG Period Last Update Date,UNPRI Signatory,SDG 2 Zero Hunger,SDG 3 Good Health and Well-being,SDG 4 Quality Education,SDG 5 Gender Equality,SDG 6 Clean Water and Sanitation,SDG 7 Affordable and Clean Energy,SDG 8 Decent Work and Economic Growth,"SDG 9 Industry, Innovation and Infrastructure",SDG 10 Reduced Inequality,SDG 11 Sustainable Cities and Communities,SDG 12 Responsible Consumption and Production,SDG 13 Climate Action,SDG 14 Life Below Water,SDG 15 Life on Land,SDG 16 Peace and Justice Strong Institutions,SDG 17 Partnerships to achieve the Goal
GSK.L,True,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,DNV Business Assurance Services UK Limited,100.0,2025-07-18,False,False,True,False,True,True,False,True,True,True,False,True,True,False,True,True,True
LAND.L,,,,,,,,,,,True,True,False,True,True,True,True,True,Ernst & Young LLP,82.0,2024-11-22,False,False,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True
BEZG.L,,,,,,,,,,,True,True,False,True,True,,True,,,51.0,2025-03-28,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BP.L,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,Deloitte LLP,100.0,2025-07-11,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
JD.L,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,,True,,,100.0,2024-11-22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ABF.L,True,False,False,False,False,False,False,True,True,True,True,True,False,True,True,,True,True,Ernst & Young LLP,100.0,2025-06-13,False,True,True,False,True,True,True,True,True,True,False,True,True,False,True,False,False
AAL.L,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,IBIS ESG Consulting Africa (Pty) Ltd,100.0,2025-07-04,False,False,True,True,True,True,False,True,True,False,False,True,True,False,True,True,True
ADML.L,True,True,False,False,False,True,False,True,True,False,True,True,False,True,True,,True,True,Carbon Trust,100.0,2025-07-04,False,False,True,True,True,False,False,True,False,True,True,True,True,False,False,False,False
RTO.L,True,True,False,False,False,True,False,True,True,True,True,True,False,True,True,,True,,,100.0,2025-06-13,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
RMV.L,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,,True,,,100.0,2025-06-20,False,False,False,True,True,False,False,True,False,False,True,True,True,False,False,False,False
SBRY.L,,,,,,,,,,,True,True,False,True,True,,True,,,100.0,2025-04-11,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PHNX.L,,,,,,,,,,,True,True,False,True,True,,True,True,Ernst & Young LLP,100.0,2025-07-25,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True
IHG.L,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,100.0,2025-06-27,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True
BT.L,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,Lloyd's Register Quality Assurance Ltd (LRQA),81.06275,2025-04-18,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MNDI.L,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,ERM Certification and Verification Services (ERM CVS),100.0,2025-06-20,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True
BATS.L,True,True,False,False,False,True,False,True,True,True,True,True,False,True,True,True,True,True,KPMG LLP,100.0,2025-06-20,False,False,True,False,False,False,False,True,True,True,False,True,True,False,True,True,False
PSON.L,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,SLR Consulting Limited (SLR),100.0,2025-05-23,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
PCT.L,,,,,,,,,,,False,True,False,False,False,,,,,,2024-09-20,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPX.L,,,,,,,,,,,True,True,False,True,True,,True,True,,100.0,2025-07-11,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True
PSN.L,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,,True,True,Ernst & Young LLP (EY),100.0,2025-07-11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RIO.L,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,KPMG,100.0,2025-07-25,False,False,True,True,True,True,False,True,True,True,False,True,True,False,True,False,True
CCH.L,False,False,False,False,False,False,False,False,True,False,True,True,False,True,True,True,True,True,denkstatt GmbH,100.0,2025-06-20,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
ALWA.L,,,,,,,,,,,False,True,False,True,True,,True,True,Carbon Footprint Ltd,100.0,2024-12-20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RR.L,True,False,False,False,False,False,False,True,True,False,True,True,False,True,True,,True,True,Bureau Veritas UK Limited,100.0,2025-06-27,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False
SN.L,,,,,,,,,,,True,True,True,True,True,,True,,,100.0,2025-07-25,False,False,True,False,False,True,True,True,False,True,False,True,False,False,False,False,False
SSE.L,,,,,,,,,,,True,True,True,True,True,True,True,True,PricewaterhouseCoopers LLP,100.0,2025-01-24,False,False,False,False,True,False,True,True,True,True,False,True,True,True,True,False,False
SMT.L,,,,,,,,,,,False,True,False,False,False,,,,,,2024-11-22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KGF.L,,,,,,,,,,,True,True,True,True,True,True,True,True,DNV Business Assurance Services UK Limited,100.0,2024-12-27,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
LLOY.L,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,Deloitte LLP,100.0,2025-07-25,True,False,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True
NWG.L,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,Ernst & Young LLP,100.0,2025-07-25,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,False,True
SDR.L,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,,100.0,2025-03-21,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
NXT.L,,,,,,,,,,,True,True,False,True,True,,True,True,PricewaterhouseCoopers LLP,85.0,2025-01-10,False,False,True,False,True,True,False,True,False,False,False,True,True,False,True,False,True
ITRK.L,False,True,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,Ernst & Young LLP (EY),100.0,2025-06-20,False,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False
BTRW.L,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,,True,True,Deloitte LLP,100.0,2025-03-21,False,False,True,False,True,True,True,True,False,False,True,True,True,False,True,False,False
SHEL.L,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,Lloyd's Register Quality Assurance Ltd (LRQA),100.0,2025-06-20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
GLEN.L,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,Deloitte LLP,100.0,2025-07-25,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
VOD.L,,,,,,,,,,,True,True,True,True,True,True,True,True,Grant Thornton UK LLP,100.0,2025-06-20,False,False,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True
BARC.L,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,KPMG LLP,100.0,2025-07-04,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
FCIT.L,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,2024-11-22,False,True,True,False,False,False,True,True,True,False,False,True,True,False,False,False,False
UTG.L,,,,,,,,,,,True,True,False,True,True,True,True,True,,100.0,2025-03-07,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DPLM.L,,,,,,,,,,,False,True,False,True,True,,True,,,100.0,2025-06-27,False,False,True,False,True,True,True,True,True,True,True,False,True,False,False,False,False
ICGIN.L,,,,,,,,,,,True,True,False,True,True,True,True,True,,100.0,2025-07-25,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False
BAES.L,True,False,False,False,False,True,False,True,True,True,True,True,False,True,True,,True,True,Deloitte LLP,100.0,2025-07-18,False,False,False,True,True,False,True,True,True,False,False,True,True,False,False,False,True
DCC.L,,,,,,,,,,,True,True,False,True,True,True,True,True,ERNST & YOUNG IRELAND,100.0,2024-09-11,False,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,False
ULVR.L,True,False,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,"PricewaterhouseCoopers LLP, UK",51.0,2025-07-11,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
EDV.L,,,,,,,,,,,True,True,True,True,True,True,True,True,Environmental & Sustainability Solutions,100.0,2025-07-25,False,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,False
LSEG.L,True,False,False,False,False,True,False,True,True,False,True,True,True,True,True,True,True,True,"Cameron-Cole, LLC",100.0,2025-07-25,True,False,False,True,True,False,False,True,False,True,False,False,True,False,False,True,True
TSCO.L,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,,True,True,KPMG LLP,100.0,2025-04-04,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
LGEN.L,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,Deloitte LLP,90.0,2025-07-18,True,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False
