Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
BATS.L,A,B-,91.3082983240175,57.0827205905802,22.8571428571429,A,A,A+,89.326610768483,90.5520014607656,95.1084915823839,A+,A+,A,A+,A+,B+,A,A+,A-,A-,96.9806763285024,95.3349282296651,84.6153846153846,98.7356321839081,92.0485175202156,73.6175115207373,89.4160583941606,94.8142414860681,82.8947368421053,80.7266982622433
PSON.L,A-,A-,78.7124529790448,78.7124529790448,100.0,A-,A-,A-,75.4476770218792,82.4125374769514,80.508064516129,A+,A,C+,A+,A+,A+,C,A-,A+,A+,99.7222222222222,88.9784946236559,50.0,93.1111111111111,95.1492537313433,92.6666666666667,33.9805825242718,76.0835913312693,96.2074303405573,93.3649289099526
PCT.L,C-,C-,31.1370916878046,31.1370916878046,100.0,C+,C-,D-,41.9146079484426,29.4011230105608,0.0,D-,D-,D-,C-,C-,C+,C+,C,C-,D,0.0,0.0,0.0,27.5,29.7619047619048,48.5,50.0,33.3584337349398,27.7861445783133,12.037037037037
SPX.L,B-,B-,51.5847193896932,51.5847193896932,100.0,B-,B-,C+,51.5754918957794,54.597401953493,49.0842324780252,A-,A,D+,A-,C+,A-,D-,B-,C,B+,75.3300330033003,90.7960199004975,18.2751540041068,77.3628048780488,46.7652495378928,78.125,7.2107765451664,57.9066265060241,34.3373493975904,68.4413580246914
PSN.L,B,B,65.4939228594442,65.4939228594442,100.0,B-,A-,B,55.3104076926934,81.5382138554266,65.4246019096447,C,B,A,A+,C-,C-,A,A+,B-,B,34.8765432098765,65.7738095238095,84.965034965035,92.7745664739884,26.2068965517241,28.0346820809249,87.9411764705882,93.5758513931888,53.328173374613,63.6650868878357
RIO.L,A-,C+,76.1285883837307,42.9612014083602,9.79381443298969,A,B+,B+,87.6056059797445,70.3795137411412,67.0166242164516,B+,A-,D-,A,A,A+,B,B,A-,A+,71.8929254302103,75.992438563327,0.0,88.4070796460177,89.6103896103896,95.3982300884956,59.8249027237354,62.7708978328173,80.4179566563467,93.3649289099526
CCH.L,A,A,89.353409551312,89.353409551312,100.0,A,A,A,91.567965145942,89.2439630542836,86.051013568176,A+,A,B-,A+,A,A,A,A,A,A,94.2982456140351,88.2608695652174,53.030303030303,99.5726495726496,88.9423076923077,88.4615384615385,90.0862068965517,90.9313725490196,86.0294117647059,85.6287425149701
ALWA.L,B,B,61.3335539770439,61.3335539770439,100.0,B,B-,B,65.6428571428572,57.7699067876444,63.231308783676,C+,B-,A,A+,D-,B+,C+,C+,A+,B,50.0,52.4390243902439,87.2549019607843,98.5,0.0,68.0,50.0,46.0090361445783,95.105421686747,60.570987654321
RR.L,B+,C+,74.7012831260927,48.6006415630463,22.5,B+,B+,A-,74.482930842,73.5180846844167,76.7183564353376,A+,B+,B+,A,B,B,A+,A,C,B+,93.8679245283019,69.8198198198198,70.7547169811321,85.8870967741936,63.1868131868132,63.3064516129032,97.8632478632479,84.8644578313253,39.0813253012048,68.4413580246914
SN.L,A-,A-,82.0616638894968,82.0616638894968,100.0,A,A,C+,87.023129699598,91.6395830234519,47.5391300668081,B+,A-,D-,A-,B+,A+,A+,A+,A+,A,71.4601769911504,75.9414225941423,0.0,82.8267477203648,71.0900473933649,99.8480243161094,92.2360248447205,92.0933734939759,93.2981927710843,86.8827160493827
SSE.L,B+,B+,74.2653431217673,74.2653431217673,100.0,A,B-,A-,85.679679608267,52.2665352769101,78.4772080702424,C+,A,A+,A+,A,A,B-,C-,A+,A+,48.876404494382,91.0909090909091,96.0474308300395,91.9928825622776,90.1673640167364,89.8576512455516,56.949806949807,31.5512048192771,93.1475903614458,94.5216049382716
SMT.L,D,D,10.9248870681708,10.9248870681708,100.0,D,D,D-,14.4924812030075,10.473808815509,0.0,D-,D-,D-,C-,D-,D+,D-,D-,C,D-,0.0,0.0,0.0,27.5,0.0,17.0,0.0,4.5933734939759,35.6174698795181,2.16049382716049
KGF.L,B,B,66.3198370883875,66.3198370883875,100.0,B+,B,A-,68.2822481572482,58.903081461649,76.7924348555077,A,A,C+,A,A+,A-,D+,B-,B-,A+,91.3502109704641,87.2844827586207,42.8571428571429,90.3409090909091,92.7927927927928,76.3257575757576,25.0,54.2921686746988,50.5271084337349,94.5216049382716
