Instrument,Corruption Due Diligence,Corruption Intermediaries Procedures,Corruption Oversight,Corruption Procedures for High Risk Operations,Corruption Risk Assessment,Corruption Training,Principles for Community Investments,Supplier Policy Animal Welfare,Corruption Fines,Lobbying Controversies,Recent Lobbying Controversies,Policy Fair Competition,Policy Bribery and Corruption,Policy Business Ethics,Policy Community Involvement,Improvement Tools Business Ethics,Whistleblower Protection,OECD Guidelines for Multinational Enterprises,Extractive Industries Transparency Initiative,Total Donations To Revenues in million,Donations Total,Political Contributions,Lobbying Contribution Amount,Employee Engagement Voluntary Work,Corporate Responsibility Awards,Product Sales at Discount to Emerging Markets,Diseases of the Developing World,"Bribery, Corruption and Fraud Controversies",Intellectual Property Controversies,Crisis Management Systems,Anti-competition Controversies,Public Health Controversies,Business Ethics Controversies,Tax Fraud Controversies,Anti-Competition Controversies Count,Critical Countries Controversies,Critical Country 1,Critical Country 2,Critical Country 3,Critical Country 4,Critical Country 5,Recent Public Health Controversies,Recent Business Ethics Controversies,Recent Tax Fraud Controversies,Recent Anti-Competition Controversy,Recent Critical Countries Controversies,Recent Intellectual Property Controversies
BT.L,True,True,True,True,True,True,True,False,,,,True,True,True,True,True,True,False,False,842.30229293402,18000000,922.0,,True,True,False,False,True,,True,True,,,,1,,,,,,,,,,,,
MNDI.L,False,False,True,False,False,True,True,False,,,,False,True,True,True,True,True,False,False,1008.98674455179,8982000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
BATS.L,True,False,True,False,False,False,False,False,,,,True,True,True,True,True,True,True,False,462.484180075936,12790000,4576059.0,,True,True,False,False,False,1,True,False,,,,,,CU,,,,,,,,,,
PSON.L,True,True,True,True,True,True,True,False,,,,True,True,True,True,True,True,True,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
PCT.L,,,,,,,,,,,,False,True,False,False,False,,False,False,,,,,False,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
SPX.L,,,,,,,,,,,,True,True,True,True,False,True,False,False,256.67534399405,345100,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
PSN.L,False,False,True,False,False,False,True,False,,,,False,True,True,True,False,True,False,False,181.351223858693,692000,,,True,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
RIO.L,True,True,True,True,False,True,False,False,,,,True,True,True,True,True,True,True,True,1454.44072434028,80800000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
CCH.L,True,True,True,False,True,True,True,False,0,,,True,True,True,True,True,True,False,False,804.487736997739,7400000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
ALWA.L,,,,,,,,,,,,False,False,False,True,False,,False,False,88.6720746595086,51004,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
RR.L,True,True,True,True,False,True,True,False,,,,True,True,True,True,True,True,False,False,243.358887502229,2730000,33900.12,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
SN.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,299.309286262471,1560000,,,True,True,True,False,False,,True,False,,,,,,,,,,,,,,,,
SSE.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,1552.7950310559,10600000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
SMT.L,,,,,,,,,,,,False,False,False,False,False,,False,False,,,,,False,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
KGF.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,446.001782386778,5505000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
LLOY.L,True,True,False,True,True,True,True,False,,,,True,True,True,True,True,True,False,False,1608.84324740859,64722155,,,True,True,False,False,True,,True,True,,1,,1,,,,,,,,,,,,
NWG.L,True,True,True,True,True,True,True,False,,,,False,True,True,True,True,True,False,False,1146.03107642551,16300000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
SDR.L,False,False,False,False,False,False,True,False,,,,False,True,False,True,False,True,False,False,1655.68508193952,4900000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
NXT.L,,,,,,,,,,,,False,True,True,True,False,False,False,False,627.263467632413,2217000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
ITRK.L,True,True,False,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,,,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
BTRW.L,False,True,True,True,False,True,True,False,,,,True,True,True,True,True,True,False,False,968.127716927049,5100000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
SHEL.L,True,True,True,True,True,True,True,False,,,,True,True,True,True,True,True,True,True,681.852751275851,260000000,0.0,,True,True,False,False,True,,True,True,,2,,1,,,,,,,,,,,,
GLEN.L,True,True,True,True,True,True,True,False,,,,True,True,True,True,True,True,True,True,333.740693297211,68000000,0.0,,True,False,False,False,True,,True,True,,,,2,,,,,,,,,,,,
VOD.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,3652.21758086238,160000000,0.0,,True,True,False,False,True,,True,False,,,2,,,,,,,,,,,,,
BARC.L,True,True,True,True,True,True,True,False,,,,True,True,True,True,True,True,True,False,326.717020902863,9300000,105000.0,,True,True,False,False,True,,True,False,,1,1,,,,,,,,,,,,,
FCIT.L,False,False,False,False,False,False,False,False,,,,False,False,False,True,False,False,False,False,,,,,False,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
UTG.L,,,,,,,,,,,,False,True,True,True,False,True,False,False,6744.09891345073,1800000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
DPLM.L,,,,,,,,,,,,False,False,False,True,False,True,False,False,89.3776987553975,70376,0.0,,False,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
ICGIN.L,,,,,,,,,,,,False,True,False,True,False,True,False,False,942.046267588839,790000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
BAES.L,True,True,True,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,541.168124941199,11504152,0.0,,True,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
DCC.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
ULVR.L,True,True,True,True,True,True,True,True,,,,True,True,True,True,True,True,True,False,,,0.0,,True,False,True,False,True,1,True,True,,,,1,2,CU,IR,MM,SD,IR,,,,,,
EDV.L,,,,,,,,,,,,True,True,True,True,True,True,True,True,832.670981416298,2200000,0.0,,False,True,False,True,False,,True,False,,,,,,,,,,,,,,,,
LSEG.L,True,False,False,False,True,True,True,False,0,,,True,True,True,True,True,True,False,False,481.019888931939,3724537,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
TSCO.L,True,True,True,False,False,True,True,True,,,,True,True,True,True,True,True,False,False,1687.00831454098,98000000,0.0,,True,True,False,False,True,,True,True,,,,1,,,,,,,,,,,,
LGEN.L,True,False,False,True,True,True,True,False,,,,False,True,True,True,False,True,False,False,74.3686746208814,2300000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
