Instrument,Audit Oversight of Tax,Named Position for Tax Oversight,Tax Breakdown by Country,Tax Breakdown by Domestic or International,Tax Data Verification,Tax Fairness Commitment,Tax in Audit Tor,Tax Oversight by Board,Policy Tax Transparency,Taxes Align to Revenues,CSR Sustainability Committee,Integrated Strategy in MD&A,Global Compact Signatory,Stakeholder Engagement,CSR Sustainability Reporting,GRI Report Guidelines,CSR Sustainability Report Global Activities,CSR Sustainability External Audit,CSR Sustainability External Auditor Name,ESG Reporting Scope,ESG Period Last Update Date,UNPRI Signatory,SDG 2 Zero Hunger,SDG 3 Good Health and Well-being,SDG 4 Quality Education,SDG 5 Gender Equality,SDG 6 Clean Water and Sanitation,SDG 7 Affordable and Clean Energy,SDG 8 Decent Work and Economic Growth,"SDG 9 Industry, Innovation and Infrastructure",SDG 10 Reduced Inequality,SDG 11 Sustainable Cities and Communities,SDG 12 Responsible Consumption and Production,SDG 13 Climate Action,SDG 14 Life Below Water,SDG 15 Life on Land,SDG 16 Peace and Justice Strong Institutions,SDG 17 Partnerships to achieve the Goal
KHC.OQ,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,Bureau Veritas UK Limited,100.0,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BLDR.N,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,True,,,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
JBHT.OQ,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,Ruby canyon environmental Inc,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CMI.N,True,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,Apex,100.0,,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True
PNR.N,True,False,False,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,Lloyd's Register Quality Assurance Ltd,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CRL.N,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True,,,100.0,,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
DECK.N,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,,,100.0,,False,False,True,True,True,True,True,False,False,True,False,True,True,False,True,False,False
HPQ.N,False,False,False,False,False,True,False,False,True,True,True,False,True,True,True,True,True,True,Ernst & Young LLP (EY),100.0,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ROP.OQ,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,True,,,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LW.N,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,"Apex Companies, LLC",100.0,,False,True,True,False,False,True,True,True,False,False,False,True,True,False,True,False,False
TGT.N,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True,,51.0,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NTAP.OQ,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,,100.0,,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True
OXY.N,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,,True,True,ERM Certification and Verification Services (ERM CVS),68.21181,,False,False,False,False,False,True,False,False,True,False,False,True,True,True,True,False,False
IR.N,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,"LRQA Americas Sustainability, Inc.",100.0,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TER.OQ,True,True,False,False,False,True,False,True,False,False,True,False,False,True,True,True,True,False,,100.0,,False,False,False,True,True,True,True,True,True,True,False,True,True,False,False,True,False
WAB.N,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,,True,True,Bureau Veritas UK Limited,100.0,,False,False,False,True,True,True,False,True,True,True,True,True,True,False,False,False,False
NOW.N,True,True,False,False,False,False,True,True,True,False,True,False,False,True,True,True,True,True,"Apex Companies, LLC",100.0,,False,False,False,True,True,False,True,True,True,True,False,False,True,False,False,False,False
EXC.OQ,True,False,False,False,False,False,True,False,True,False,True,True,False,True,True,True,True,True,Lloyds Register Quality Assurance Inc LR,100.0,,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
BR.N,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,True,True,,100.0,,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False
EMN.N,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,PricewaterhouseCoopers LLP (USA),100.0,,False,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,False
AZO.N,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,,100.0,,False,False,True,True,True,False,True,True,False,True,False,True,True,False,False,False,False
TEL.N,False,False,False,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,"Deloitte & Touche LLP, USA",100.0,,False,False,False,True,True,True,False,True,True,False,False,True,True,False,False,False,False
FRT.N,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,LRQA Group Limited,100.0,,False,False,True,False,True,True,True,True,True,False,True,True,True,False,False,True,False
