Instrument,Environmental Data Assurance Standard,Policy Resource Efficiency,Targets Resource Use,Facilities Water Withdrawal,Water Incidents,Water Management Plan Details,Water Stressed Targets,Water Use Target,Supplier Environmental Commitment,Supplier Environmental Due Diligence,Supplier Environmental Policy Communication,Supplier Environmental Policy Training,Supplier Environmental Risk Assessment,Target Sustainable Palm Oil Supply Chain,Total Water Usage Properties,Water Stressed Sites,Water Stressed Sites Percent,Water Withdrawal in Stressed Regions,Water Withdrawal in Stressed Regions Percent,Certified Palm Oil Percent Supply Chain,Electricity Produced from Nuclear,Electricity Produced from Coal,Electricity Produced from Oil,Electricity Produced from Gas,Electricity Produced from Combined Cycle Gas Turbine,Electricity Produced from Biomass,Electricity Produced from Hydro,Electricity Produced from Geothermal,Electricity Produced from Solar,Electricity Produced from Wind,Electricity Produced from Other Renewables,Renewable Electricity Produced Without Bifurcation,Total Energy Use from Properties,Energy Consumption External Assurance,Energy Consumption International Assurance Standard,Deforestation Controversies Count,Recent Deforestation Controversies Count,Water and Marine Resource Controversies Count,Recent Water and Marine Resource Controversies Count,Extraction Virgin Natural Resources ControversiesCount,Recent Extraction Virgin Natural Resources ControversiesCount,Exposure To Supply Risk ControversiesCount,Recent Exposure To Supply Risk ControversiesCount,ResourceUse Controversies count,Recent ResourceUse Controversies count,Biodiversity and Ecosystem Controversies Count,Recent Biodiversity and Ecosystem Controversies Count,Total Energy Use To EVIC USD in million,Water Use To EVIC USD in million,Electricity Purchased Per Tonne of Aluminum Production,Electricity Purchased Per Tonne of Chlorine Production,Resource Reduction Policy,Policy Water Efficiency,Policy Sustainable Packaging,Policy Environmental Supply Chain,Resource Reduction Targets,Targets Water Efficiency,Environment Management Team,Environment Management Training,Environmental Materials Sourcing,Toxic Chemicals Reduction,Total Energy Use To Revenues USD in million,Renewable Energy Use Ratio,Renewable Energy Supply,Energy Use Total,Energy Purchased Direct,Electricity Purchased,Electricity Produced,Cement Energy Use,Renewable Energy Purchased,Renewable Energy Produced,Renewable Energy Use,Green Buildings,Water Use To Revenues USD in million,Water Withdrawal Total,Fresh Water Withdrawal Total,Water Recycled,Environmental Supply Chain Management,Environmental Supply Chain Monitoring,Env Supply Chain Partnership Termination,Land Environmental Impact Reduction,Environmental Controversies,Environmental Controversies Count,Recent Environmental Controversies,Total Renewable Energy,Total Renewable Energy To Energy Use in million,Grid Loss Percentage,Coal Produced (Raw Material in Tonnes) Total
SMT.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,False,False,,,,,False,,False,False,False,,,,,,
KGF.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.967160152278,,,,True,True,True,True,True,False,True,True,True,True,299.620770414213,,,4586400.0,4586400.0,,,,,,True,True,,,,,True,True,False,False,False,,,,,,
LLOY.L,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,10.063790253962,4.69701474101017,,,True,True,False,True,True,True,True,True,True,False,36.8099537034272,0.681818181818182,,2138400.0,2138400.0,1458000.0,,,1458000.0,,True,False,17.18009723949,998043.09,998043.09,,True,,True,False,False,,,1458000.0,681818.181818182,,
NWG.L,False,True,True,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,8.86351141606582,3.27389906244932,,,True,True,False,True,True,False,True,False,False,False,89.4158856592798,0.697732997481108,,1429200.0,1429200.0,,,,997200.0,,True,False,33.0273827703747,527901.0,527901.0,,True,True,False,False,False,,,997200.0,697732.997481108,,
SDR.L,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,7.27600455740346,2.07499191285557,,,True,True,False,True,True,False,True,False,True,False,28.1100647739052,,,94556.8692,94556.8692,,,,,,True,True,8.01650914530415,26966.0,,,True,,True,False,False,,,,,,
NXT.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.6235186249849,27.6737406649838,,,True,True,True,True,True,False,True,True,True,True,189.035122091824,,,1039954.936,1039954.936,860269.777,,,,,True,True,61.8186176886076,340088.0,,,True,True,True,False,False,,,,,,
ITRK.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.4221624420302,,,,True,True,False,True,False,False,True,True,False,False,307.656807635636,0.006491686791156,,1153321.2,1153321.2,913856.4,,,7487.0,,True,True,,,,,True,,True,False,False,,,7487.0,6491.68679115584,,
BTRW.L,False,True,False,False,False,False,False,False,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,52.3620285272777,,,,True,True,False,True,True,False,True,True,True,False,82.9513890107596,0.124992322338923,,351669.6,351669.6,59277.6,,,43956.0,,True,False,,,,,True,True,False,False,False,,,43956.0,124992.322338923,,
SHEL.L,False,True,True,True,False,True,True,False,True,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,4910.42671820183,929.264020376841,,,True,True,True,True,True,True,True,True,True,False,5004.90187933069,0.007171314741036,,903600000.0,79200000.0,36000000.0,,,6480000.0,18000.0,True,False,947.142785929114,171000000.0,171000000.0,,True,True,True,True,True,1,,6498000.0,7191.23505976096,,
GLEN.L,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,32.0,125000000.0,12.29105,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,2706.74885027051,13108.3980034529,,,True,True,False,True,True,True,True,True,False,False,976.240173677776,0.076904761904762,,210000000.0,198750000.0,85000000.0,11250000.0,,16150000.0,11250000.0,True,False,4727.79169823951,1017000000.0,774000000.0,528000000.0,True,True,True,True,False,,,27400000.0,130476.19047619,,140000000
VOD.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.461395075976,8.46167081415511,,,True,True,False,True,False,False,True,True,True,False,430.33757661537,0.127412467976089,,21078000.0,21060000.0,20127600.0,18000.0,,2685600.0,18000.0,True,True,19.118703351028,936437.0,936437.0,,True,True,True,False,False,,,2703600.0,128266.438941076,,
BARC.L,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,7.16234206593485,2.6927995017267,,,True,True,False,True,True,True,True,True,False,False,65.1818264696906,0.706060874758875,,2151788.4,2151788.4,1894770.0,,,1519293.6,,True,True,24.5061724535645,809000.0,809000.0,,True,True,False,False,False,,,1519293.6,706060.874758875,,
FCIT.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,False,False,,,,,False,,False,False,False,,,,,,
UTG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,False,False,True,True,False,,,,,852418.7136,603335.6064,,,232719.16,,True,False,,,,,True,,False,False,False,,,232719.16,,,
DPLM.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,11.1029976019232,,,,True,False,True,False,False,False,False,False,False,False,39.3114563477986,,,26310.092,26310.092,26310.092,,,,,False,False,,,,,False,,False,False,False,,,,,,
ICGIN.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,0.577839353483957,0.74997691119673,,,True,False,False,False,False,False,False,False,False,False,10.1914187372404,,,5824.8,5824.8,5666.4,,,,,False,False,13.2274285217582,7560.0,,,False,,False,False,False,,,,,,
BAES.L,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,197.365399282451,181.274032952356,,,True,True,False,True,False,False,True,True,True,False,232.306525343747,,,6123005.7912,6096766.003,2707877.898,8296.7868,,,8296.7868,True,True,213.366379736826,5623792.0,4360000.0,1085391.856,True,True,True,False,False,,,8296.787,1355.01864328206,,
DCC.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.904509191463,,,,True,False,False,True,False,False,False,False,True,False,71.6655693790318,,,1422000.0,1422000.0,,,,,,False,False,,,,,True,,False,False,False,,,,,,
ULVR.L,False,True,True,False,False,False,True,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,121.745431521826,152.552339643831,,,True,True,True,True,True,False,True,True,True,True,380.109427428928,,,23547483.0,,,,,,,True,True,476.293703592193,29506024.0,,,True,True,False,False,False,,,12220132.0,518957.036724477,,
EDV.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292.42575285699,4842.00501673231,,,True,True,False,False,False,False,True,True,False,False,5414.08192870959,0.14787701317716,,3761964.0,3761964.0,709312.0,,,556308.0,,True,False,20283.5728101686,14094000.0,14094000.0,10610000.0,False,,False,True,False,,,556308.0,147877.01317716,,
LSEG.L,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,21.1691438593126,1.26252796905838,,,True,True,False,True,False,False,True,True,True,False,356.903060542531,0.910973832251495,,990626.916,990626.9156,902435.1984,,,902435.198,,True,True,21.2857023964744,59081.0,59081.0,,True,,True,False,False,,,902435.198,910973.832251495,,
TSCO.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.770917460446,,,True,True,True,True,False,False,False,False,True,True,,,,,,,,,,,True,True,269.028221303287,21600000.0,,,True,,False,False,False,,,,,,
LGEN.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25306263335952,0.240783510726286,,,True,False,False,True,True,True,True,False,True,False,8.02812281124998,,,542970.0,542970.0,283611.6,,,,,False,False,0.367983351799159,24888.0,24888.0,,True,True,True,False,False,,,,,,
