Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
CNA.L,A-,C,78.4563945387287,41.0139115550786,3.57142857142857,A-,A-,A-,78.9780676876537,78.1171650649003,78.2294489611563,A,A,B-,A,A,B-,A-,B+,A,A-,85.5555555555556,90.0,57.3170731707317,90.0,86.25,56.6666666666667,78.0487804878049,73.3908948194662,90.5023547880691,83.1707317073171
MNG.L,A-,A-,77.8050198294092,77.8050198294092,100.0,B,A,A,64.8210425144871,89.4275298878178,88.3814102564103,A,A,A,B-,A-,A+,C-,A,A-,A+,84.375,85.4166666666667,90.7051282051282,52.3890784982935,82.7830188679245,93.0034129692833,33.2155477031802,90.6346749226006,79.5665634674923,98.1832543443918
BKGH.L,B,B-,63.9454253442783,54.6999853994119,45.4545454545455,B-,B+,B+,52.4597986771478,74.4880090873122,69.6773981920763,A+,A,C,B+,C+,A-,D+,A,C+,B,94.620253164557,89.3939393939394,40.7801418439716,74.8520710059172,44.0140845070423,76.3313609467456,17.4698795180723,86.4207221350079,43.7205651491366,60.9756097560976
NG.L,B+,C+,72.5797909340667,45.2184668956048,17.8571428571429,A-,A,B,76.5163546984308,91.3036804465376,59.042958948108,B-,A+,C-,A-,A,A-,B-,A+,A-,A+,54.4444444444444,92.2222222222222,26.8292682926829,76.6666666666667,86.25,80.0,57.3170731707317,95.6828885400314,75.3532182103611,93.3333333333333
RKT.L,A,C+,88.8616312402789,45.4308156201394,2.0,A+,A-,A,92.2447553245922,82.6432932147218,88.5016724352268,A+,A-,A+,A-,A,A+,A+,A+,C+,A+,96.1538461538462,76.063829787234,95.0819672131148,82.3232323232323,89.5348837209302,97.4747474747475,98.4536082474227,91.7582417582417,45.1334379905808,93.3333333333333
WEIR.L,B+,B+,68.5910608713221,68.5910608713221,100.0,B,A-,B,64.979949752351,80.6428252351597,62.493397161074,C,D+,A+,B-,A-,B,B+,A-,A+,C,40.88,19.3729903536978,92.0192307692307,52.5,75.0434782608696,59.0151515151515,69.1290824261275,83.1240188383046,98.9795918367347,40.7317073170732
IMI.L,A-,A-,75.456299641361,75.456299641361,76.9230769230769,B-,A+,A-,57.3090114752134,92.0616602839689,81.4460917318307,A,C+,A+,A-,B+,C+,C-,A+,A-,A+,88.0032206119163,43.8411669367909,96.4980544747082,75.8698940998487,73.4676007005254,46.2178517397882,32.5077399380805,95.4334365325077,79.953560371517,93.3649289099526
MRON.L,B+,B+,74.6504570081822,74.6504570081822,100.0,A,B,B,88.1727660050269,65.3785656851859,62.2981618787068,A+,A,D+,A,A-,A+,A+,B,A+,C,91.9811320754717,83.9130434782609,18.4210526315789,85.0806451612903,80.6930693069307,97.9838709677419,93.801652892562,61.6169544740973,94.3485086342229,40.7317073170732
HSX.L,B,B,58.8703850576733,58.8703850576733,100.0,C,A,C-,40.378846806917,91.5079646017699,25.6780303030303,B-,B+,D-,B+,B-,D-,C-,A+,A+,B-,53.9583333333333,74.4318181818182,0.0,69.7952218430034,54.4811320754717,5.2901023890785,33.2155477031802,98.0,94.0,55.3097345132743
CPG.L,A-,A-,75.4316647795047,75.4316647795047,77.9220779220779,A-,B+,A-,80.1807378458581,67.3858066053188,76.4563854180113,B,A,A,B+,A+,B+,A,A-,D,A+,66.6051660516605,84.6830985915493,91.1290322580645,73.6245954692557,93.5344827586207,69.4174757281553,83.5034013605442,77.1585557299843,13.5007849293564,99.349593495935
