Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
PRU.L,A-,A-,81.593893584881,81.593893584881,100.0,A-,A+,B,77.2365024913292,93.0084278864767,62.6011595075245,B+,C+,B,B+,A-,A-,A-,A+,A,A,74.896265560166,46.2264150943396,63.961038961039,71.9387755102041,82.7102803738318,80.4421768707483,76.4084507042253,96.6248037676609,84.6938775510204,87.3983739837398
MKS.L,B+,B+,66.9087818236649,66.9087818236649,100.0,A-,B-,B,81.0730394244516,50.4900819561216,59.2020043565261,B+,B+,D+,B,A,A,A-,B-,D+,A-,67.578125,71.7054263565892,18.2926829268293,66.304347826087,90.9090909090909,88.768115942029,81.6793893129771,52.5541795665635,23.4520123839009,80.7266982622433
IMB.L,A-,A-,75.110927135871,75.110927135871,77.9069767441861,B,A,A-,63.7775148656372,88.9708363645646,80.3124804433348,A+,A-,D-,A-,A,B,C-,A+,B,A-,98.4107579462103,78.2766990291262,0.0,81.3657407407407,91.5549597855228,59.7447795823666,26.7073170731707,99.9215070643642,59.2621664050235,78.780487804878
EXPN.L,B+,B+,71.8173872216458,71.8173872216458,77.7777777777778,A-,B+,B,75.3337719269334,73.6337760910816,62.803748501689,A,A,D-,A+,B+,A+,C-,B+,B+,A,87.0065789473684,88.9751552795031,0.0,97.3314606741573,69.1379310344828,99.2977528089888,25.7971014492754,72.0588235294118,72.0588235294118,83.8709677419355
GSK.L,A,B,90.3077403494097,62.2330780954969,34.1584158415842,A+,A,A,96.513896891939,86.0655852084424,83.4451025875444,A+,A-,B,A+,A+,A+,A+,A+,C+,A+,97.3846153846154,75.7267441860465,60.1351351351351,97.7647058823529,93.4397163120567,99.1764705882353,96.7312348668281,95.9968602825746,48.116169544741,93.3333333333333
LAND.L,A-,A-,80.9581993411796,80.9581993411796,100.0,A,B-,A+,91.5917196023161,57.4471083852182,92.5531109980415,A+,A,A-,A+,A,A+,A,B,C-,A,98.5411140583554,90.0503778337531,77.9863481228669,94.6782178217822,83.6601307189543,92.6980198019802,87.9134860050891,59.6749226006192,29.0247678018576,88.9415481832544
BEZG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP.L,A,C+,83.7722099822428,48.1361049911214,12.5,A-,A,A,80.4729659305277,86.8049588816139,85.7160074773711,A,A,B+,B+,A,A,B,A+,C+,A+,90.0,90.719696969697,74.7252747252747,72.3048327137546,90.625,85.3159851301115,64.8648648648649,96.9387755102041,44.6624803767661,99.349593495935
JD.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABF.L,B,C+,64.7671259689011,43.4300746123575,22.093023255814,B-,B-,A,57.8825451524918,55.1054868476471,84.3640940281382,A,A-,A,C+,B-,C,A,B,C-,B,90.0977995110024,78.7621359223301,83.7053571428571,48.4953703703704,51.6085790884718,37.0069605568445,84.8780487804878,62.7158555729984,25.8241758241758,60.9756097560976
AAL.L,B+,B-,74.5422837559732,54.1759037827485,33.8095238095238,A-,A-,B,82.4777441877843,76.0289551718123,64.4315795612628,A,B-,D-,A,A,A+,D+,A-,C+,A+,86.223506743738,55.0572519083969,0.0,84.6223021582734,88.4199134199134,96.4928057553957,20.3155818540434,81.5541601255887,46.0753532182104,93.3333333333333
