Instrument,Life Cycle Analysis,Roundtable for Sustainable Palm Oil(RSPO) Support,Target Sustainable Palm Oil Production,"Pollution, Waste and Resource Use Research and Development",Certified Palm Oil Percent,REIT Green Building Certified Percent,Sustainable Palm Oil Production Target Year,Sustainable Palm Oil Production-Year in which Target was set,Environmental Products,Eco-Design Products,Env R&D Expenditures To Revenues in million,Environmental R&D Expenditures,Noise Reduction,Fleet Fuel Consumption,Hybrid Vehicles,Environmental Assets Under Mgt,Equator Principles,Equator Principles or Env Project Financing,Environmental Project Financing,Nuclear,Nuclear Production,Labeled Wood Percentage,Labeled Wood,Organic Products Initiatives,Product Impact Minimization,Take-back and Recycling Initiatives,Product Environmental Responsible Use,GMO Products,Agrochemical Products,Agrochemical 5 % Revenue,Animal Testing Reduction,Renewable/Clean Energy Products,Water Technologies,Sustainable Building Products,Real Estate Sustainability Certifications,Revenue from Environmental Products,Products Recovered to Recycle,Percentage of Green Products,ESG Assets Under Management
AHT.L,False,False,False,False,,,,,True,False,,,True,,False,False,False,,False,False,,,False,False,,False,True,False,,False,False,False,False,False,,,,,
HLMA.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,True,False,True,False,,False,False,False,True,True,,22.0,,,
III.L,False,False,False,False,,,,,True,False,,,False,,False,True,False,True,True,False,,,False,False,,False,True,False,,False,False,True,False,False,,,,,
HIK.L,True,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,False,False,False,False,,False,True,False,False,False,,,,,
CNA.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,True,76.9049,,False,False,,False,True,False,,False,False,True,False,True,,,,,
MNG.L,False,False,False,False,,,,,True,False,,,False,,False,True,False,True,True,False,,,False,False,,False,True,False,,False,False,True,False,False,,,,,
BKGH.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,True,False,True,False,,False,False,False,False,True,,,,,
NG.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,,False,True,False,,False,False,True,False,False,,,,,
RKT.L,True,True,True,False,81.24,,,,True,True,,,False,,False,False,False,,False,False,,,False,False,True,True,True,False,,False,True,False,True,False,,29.6,,,
WEIR.L,True,False,False,False,,,,,True,False,17943.8543247344,47300000,True,,False,False,False,,False,True,,,False,False,True,False,True,False,,False,False,True,False,False,,,,,
IMI.L,False,False,False,False,,,,,True,False,,,True,,False,False,False,,False,False,,,False,False,True,False,True,False,,False,False,True,True,True,,,,,
MRON.L,True,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,,True,True,False,,False,False,False,False,False,,,,,
HSX.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,False,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
CPG.L,False,True,False,False,95.0,,,,True,False,,,False,,False,False,False,,False,False,,,False,True,,False,True,True,,False,False,False,False,False,,,,,
AUTOA.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,True,False,True,False,,False,False,False,False,False,,,,,
AV.L,False,False,False,False,,,,,True,False,,,False,,False,True,False,True,True,False,,,False,False,,False,True,False,,False,False,True,False,False,,,,2.0,8200000000
ENT.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
DGE.L,True,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,False,False,False,True,,False,False,False,False,False,,,,,
GAW.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
INF.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,,False,True,False,,False,False,False,False,False,,,,,
UU.L,,,,,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,,False,True,False,,False,False,False,True,False,,,,,
PSHP.L,False,False,False,False,,,,,False,False,,,False,,False,True,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
HLN.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,False,False,False,False,,False,True,False,False,False,,,,,
WTB.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
PRU.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,True,True,False,,,False,False,,False,True,False,,False,False,True,False,False,,,,,
MKS.L,False,True,True,False,99.0,,2026,2022,False,False,,,False,,False,False,False,,False,False,,,False,True,,True,False,False,,False,False,False,False,False,,,,,
IMB.L,True,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,False,False,False,False,,False,True,False,False,False,,,,,
EXPN.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
GSK.L,True,True,True,False,98.0,,2025,2023,True,True,,,False,,False,False,False,,False,False,,,False,False,True,True,True,False,,False,True,False,False,False,,,,,
LAND.L,True,False,False,False,,60.0,,,True,False,,,False,,False,True,False,,False,False,,,False,False,,False,True,False,,False,False,True,False,True,True,,,,
BEZG.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,True,True,False,,,False,False,,False,True,False,,False,False,False,False,False,,,,,
BP.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,,False,True,False,,False,False,True,False,False,,,,,
JD.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,True,True,False,False,,False,False,False,False,False,,,,,
ABF.L,False,True,True,False,100.0,,2025,2023,True,False,,,False,,False,False,False,,False,False,,,False,True,True,False,True,True,True,False,True,False,False,False,,,,,
AAL.L,True,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
ADML.L,False,False,False,False,,,,,True,True,,,False,,False,True,False,False,False,False,,,False,False,,False,True,False,,False,False,False,False,False,,,,0.0378003,
RTO.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,,False,True,False,,False,False,False,True,False,,,,,
RMV.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,True,False,True,False,,False,False,False,False,False,,,,,
SBRY.L,False,False,False,False,,,,,True,True,,,False,,False,False,False,,False,False,,77.0,True,True,,False,True,False,,False,False,False,False,False,,,,,
PHNX.L,False,False,False,False,,,,,True,False,,,False,,False,True,False,True,True,False,,,False,False,,False,True,False,,False,False,True,False,False,,,,,1000000000
IHG.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,True,,False,False,False,,False,False,False,False,False,,,,,
BT.L,False,False,False,False,,,,,True,True,,,False,,False,False,False,,False,False,,,False,False,True,True,True,False,,False,False,False,False,False,,,,,
MNDI.L,False,False,False,False,,,,,True,True,,30000000,False,,False,False,False,,False,False,,100.0,True,False,,False,True,False,,False,False,False,False,False,,,,,
BATS.L,True,False,False,False,,,,,True,True,,,False,,False,False,False,,False,False,,,False,True,True,True,True,False,,False,True,False,False,False,,,,,
PSON.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,,False,True,False,,False,False,False,False,False,,,,,
PCT.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
SPX.L,True,False,False,False,,,,,True,True,,,False,,False,False,False,,False,True,,,False,False,True,False,True,False,,False,False,False,False,False,,,,0.0117647,
PSN.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,True,False,True,False,True,False,,False,False,True,False,True,,,,,
RIO.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,True,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
CCH.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,True,True,True,False,,False,False,False,False,False,,,,,
ALWA.L,False,False,False,False,,,,,True,False,,,False,,False,True,False,,False,False,,,False,False,,False,True,False,,False,False,False,False,False,,,,,
RR.L,False,False,False,False,,,,,True,True,,,True,,False,False,False,,False,True,,,False,False,,False,True,False,,False,False,True,False,False,,,,,
SN.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,True,False,False,False,,,,,
SSE.L,False,False,False,False,,,,,True,False,1394.01965567715,12000000,False,,False,False,False,,False,False,,,False,False,,False,True,False,,False,False,True,False,False,,,,38.1,
SMT.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
KGF.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,87.2,True,False,True,True,True,False,,False,False,True,True,True,,,,,
LLOY.L,False,False,False,False,,,,,True,False,,,False,,False,True,True,True,True,False,,,False,False,,False,True,False,,False,False,True,False,False,,,,2.8,31000000000
NWG.L,True,False,False,False,,,,,True,False,,,False,,False,True,True,True,True,False,,,False,False,,False,True,False,,False,False,True,False,False,,,,10.618,15533000000
SDR.L,True,False,False,False,,,,,True,False,,,False,,False,True,False,True,True,False,,,False,False,,False,True,False,,False,False,False,False,False,,,,,
NXT.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,True,True,True,False,False,,False,False,False,False,False,,,,,
ITRK.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,True,,,False,False,,False,True,False,,False,False,False,False,False,,,,,
BTRW.L,True,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,True,False,True,False,True,False,,False,False,False,True,False,,,,,
SHEL.L,True,True,False,False,,45.0,,,True,False,,630000000,False,,False,False,False,,False,False,,,False,False,,False,True,False,,False,True,True,False,False,True,,,,
GLEN.L,True,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
VOD.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,True,True,True,False,,False,False,False,False,True,,,,,
BARC.L,False,False,False,False,,,,,True,False,,,False,,False,True,True,True,True,False,,,False,False,,False,True,False,,False,False,True,False,False,,,,,
FCIT.L,False,False,False,False,,,,,False,False,,,False,,False,True,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
UTG.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,True,,,,
DPLM.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,,,,,
ICGIN.L,False,False,False,False,,,,,False,False,,,False,,False,True,False,False,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
BAES.L,False,False,False,False,,,,,True,True,,,False,,True,False,False,,False,True,,,False,False,,False,True,False,,False,False,False,False,False,,,,,
DCC.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,True,False,True,False,,False,False,True,False,False,,,,,
ULVR.L,True,True,True,False,100.0,,,,True,False,,,False,,False,False,False,,False,False,,,False,True,True,True,True,True,,False,True,False,True,False,,,,,
EDV.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
LSEG.L,False,False,False,False,,,,,True,False,,,False,,False,True,False,True,True,False,,,False,False,,False,True,False,,False,False,False,False,False,,,,,205539000000
TSCO.L,True,True,True,False,100.0,,,,False,False,,,False,,False,False,False,,False,False,,,False,True,,False,False,True,,False,False,False,False,False,,,,,
LGEN.L,False,False,False,False,,,,,True,False,,,False,,False,True,False,False,False,False,,,False,False,,False,True,False,,False,False,True,False,False,,,,32.62,378100000000
