Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
WMB.N,B+,B+,73.0860560546725,73.0860560546725,97.2222222222222,B,A,A-,58.410004930531,89.374773599942,77.0151033386327,A,A+,D-,A+,C-,A-,D+,A+,B+,A,87.1323529411765,92.2297297297297,0.0,92.2839506172839,30.7017543859649,78.7037037037037,22.8187919463087,96.6626396858955,68.2120205376019,84.6795727636849
EA.OQ,C+,C+,48.6411124848437,46.0418677178317,43.4426229508197,B-,C+,C,54.028398313932,47.1288003454924,38.2186473288168,A-,B-,D-,A,D+,B+,C,B-,C+,D+,76.6414141414141,57.0217917675545,0.0,84.3382352941177,19.5530726256983,68.6764705882353,34.2592592592593,52.3557837511326,46.1491996375717,22.4632843791722
TMUS.OQ,B,B,59.3604741525159,59.3604741525159,97.6744186046512,B+,C-,B+,71.6955384879594,25.5324035523992,71.2162312751676,A,B+,B,B+,B+,A+,B,D+,D+,A-,84.9112426035503,66.7682926829268,60.6481481481482,66.7525773195876,72.2602739726027,95.6185567010309,62.5,16.8982180610088,19.8882512836001,77.1695594125501
CB.N,B-,B-,50.1877800808744,50.1877800808744,62.8205128205128,C,B,C+,40.6210704340807,63.0696386946387,45.0256880033589,C-,A-,C,C-,B-,B-,C-,A-,D-,B,32.2222222222222,79.8780487804878,37.6760563380282,31.1224489795918,50.7853403141361,51.1904761904762,32.8467153284672,80.5288461538462,6.00961538461539,61.3636363636364
TXN.OQ,A,A,85.1138627812283,85.1138627812283,100.0,A,B,A+,90.6943322493562,60.9181139804917,97.6038412631664,A+,A+,A+,A,A,A+,A+,B,C+,A,99.1071428571429,99.0853658536585,95.2586206896552,90.7894736842105,84.0909090909091,99.7368421052632,93.4285714285714,60.9634551495017,44.9260042283298,84.6795727636849
MDLZ.OQ,A-,C+,75.8338041695214,49.1011126110765,22.3684210526316,A,C,A,89.954244356038,37.922698905094,88.1193700765426,A+,A-,A,A,A-,A+,A+,D,A,A-,94.1860465116279,82.3432343234323,86.6666666666667,90.5688622754491,82.7309236947791,95.3453453453454,92.5324675324675,15.1766837813349,88.3569918453639,76.0013351134846
BRO.N,C-,C-,30.4958518535759,30.4958518535759,100.0,C,C-,D-,37.3374668597323,32.2097680628435,1.40845070422535,D-,D-,D-,C-,C-,B-,C,C-,B,D-,0.0,7.04225352112676,0.0,31.7120622568093,29.1666666666667,50.9727626459144,34.156378600823,27.8616732105104,64.1045001510118,6.10814419225634
BALL.N,B+,B+,72.5988909127467,72.5988909127467,100.0,A-,C+,A-,81.4003605324787,41.9700456467343,82.8479630644277,A+,A+,C,A+,A,A-,B-,C-,C,A+,96.6666666666667,95.3947368421053,40.8450704225352,98.125,87.1428571428571,79.375,50.6578947368421,31.5098152424942,39.939376443418,97.317201472909
PFG.OQ,B+,B+,67.7143942505226,67.7143942505226,100.0,B+,B-,A-,74.4348990299022,56.1723080190767,78.8188862170312,A+,A-,B+,B+,B,A-,A-,B-,C+,A,92.2222222222222,81.0975609756098,73.5915492957747,75.0,66.2303664921466,75.5102040816327,78.4671532846715,52.5837182448037,45.6841801385681,89.8474487112046
KEYS.N,B+,B+,72.2541610219702,72.2541610219702,100.0,A+,C,A-,92.3523870643353,40.3247741174279,80.0667061696473,A-,A,A-,A+,A+,A,A+,C-,B+,B+,76.0504201680672,85.4166666666667,79.2207792207792,94.6043165467626,93.3962264150943,88.4892086330935,94.6153846153846,25.3548776804591,70.3563877982483,70.1268357810414
