Instrument,Biodiversity Targets,Targets Pollution,Cost of Pollution and Waste,Policy Waste,Commitment to Align Disclosures with TCFD Recommendations,Scope 1 Estimated Date,Emission Controversies Count,Fossil Fuel Debt Finance count,Climate Risk Insurance Count,Wastewater Management Controversies Count,Low Carbon Transition Controversies Count,Pollution Controversies Count,Total Waste To EVIC USD in million,Water Pollutant Emissions To EVIC USD in million,Ozone-Depleting Substances To EVIC USD in million,SOx Emissions To EVIC USD in million,Biodiversity Due Diligence,Biodiversity Risk Assessment,Biodiversity Commitment,Targets Waste,Policy Pollution,Facilities Water Discharge,Reporting Against the TCFD Recommendations,Scope 2 Estimated Date,Recent Emission Controversies Count,Recent Fossil Fuel Debt Finance Count,Recent Climate Risk Insurance Count,Recent Wastewater Management Controversies Count,Recent Pollution Controversies Count,Total Hazardous Waste To EVIC USD in million,Flaring Gases To EVIC USD in million,NOx Emissions To EVIC USD in million,VOC Emissions To EVIC USD in million,Accidental Spills To EVIC USD in million,"GHG Emissions Direct, Scope 1 - 5 year CAGR","GHG Emissions Indirect, Scope 2 - 5 year CAGR",CO2 Estimation Method,Ozone-Depleting Substances,NOx Emissions,VOC or Particulate Matter Emissions Reduction,Particulate Matter Emissions Reduction,Total Hazardous Waste To Revenues USD in million,Non-Hazardous Waste,TRWASTERECYCLINGRATIO,TRWASTEREDUCTIONINITIATIVES,Water Pollutant Emissions To Revenues USD in million,TRWATERPOLLUTANTEMISSIONS,"GHG Emissions Direct, Scope 1 - 3 year CAGR","GHG Emissions Indirect, Scope 2 - 3 year CAGR",Total CO2 Equivalent Emissions To Million Revenues USD YoY,Estimated CO2 Equivalents Emission Total,Flaring Gases,NOx and SOx Emissions Reduction,SOx Emissions,TRVOCEMISSIONSREDUCTION,TRVOCEMISSIONS,Waste Recycled To Total Waste,TRWASTETOTAL,TRWASTERECYCLEDTOTAL,Hazardous Waste,e-Waste Reduction,TRWATERDISCHARGED,ISO 14000 or EMS,EMS Certified Percent,Staff Transportation Impact Reduction,Environmental Expenditures Investments,Environmental Provisions,Self-Reported Environmental Fines,Flaring Gases To Revenues USD in million,NOx Emissions To Revenues USD in million,VOC Emissions To Revenues USD in million,Self-Reported Environmental Fines To Revenues in million,Environmental Restoration Initiatives,Accidental Spills,Environmental Expenditures,Environmental Investments Initiatives,Environmental Partnerships,Ozone-Depleting Substances To Revenues USD in million,SOx Emissions To Revenues USD in million,Accidental Spills To Revenues USD in million,Policy Nuclear Safety
GSK.L,1,0,0,1,1,,,,,,,,0.524059467663363,,6.2512064e-08,,0,0,1,1,0,0,1,,,,,,,0.200038603958978,,,,,,,Reported,0.006,,0,False,0.541253025787651,31000.0,,,,,,,,891095.0,,False,,,,0.433399602385686,,,19200.0,False,,No,,False,1,,200,,,,0.00682035193016,False,,2800000,True,True,1.69141571e-07,,,False
LAND.L,,,,,,,,,,,,,1.12106284144437,,0.209842122570208,,,,,,,,,,,,,,,,,,,,,,Reported,2497.0,,,False,0.0,13340.0,,,,,,,,25988.0,,False,,,,1.0,,,0.0,True,,ISO 14000,,False,0,,,,,,,False,,,False,True,,,,False
BEZG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,1244.32,,False,,,,,,,,False,,No,,False,0,,,,,,,False,,,False,False,,,,False
BP.L,1,0,0,1,1,,,,,,,,3.12047298836567,0.009688358263384,,0.057057469160096,0,0,1,0,1,0,1,,,,,,,0.876402726299079,3.7315584830703,0.222524129724376,0.222524129724376,3.6067452693e-05,,,Reported,,39000,0,False,0.636309405448399,393300.0,,,0.007034201630543,,,,,32500000.0,654000,True,10000,,,0.442676906198574,,,153600.0,False,,ISO 14000,100.0,False,1,1721000000,,2.70928614038576,0.161562934977133,0.161562934977133,,False,6.32125,2406000000,True,True,,0.04142639358388,2.6186659044e-05,False
JD.L,0,0,0,1,1,,,,,,,,0.417881122510488,,,,0,0,0,0,1,0,0,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,55118.0,,False,,,,0.985999999511579,,,,False,,No,,False,,,,,,,,False,,,False,False,,,,False
ABF.L,0,0,0,1,1,,,,,,,,34.7949157332007,,,,0,0,1,0,1,0,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,2970000.0,,False,,,,0.84,,,,False,,ISO 14000,,False,1,,104283,,,,6.13537683120551,True,,,True,True,,,,False
AAL.L,1,0,0,1,1,,,,,,,,2.63218383654549,,,0.238157362355017,0,1,1,0,1,0,1,,,,,,,0.860159539906138,,0.374076003479368,,,,,Reported,,27456,1,True,1.79773905119882,130061.0,,,,,,,,13300000.0,,True,17480,,,0.537527045353375,,,63133.0,False,,ISO 14000,,False,0,2667000000,,,0.781821288228259,,,False,,,False,True,,0.497750441369098,,False
ADML.L,0,0,0,0,1,,,,,,,,,,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,3047.0,,False,,,,,,,,False,,No,,True,1,,,,,,,False,,,True,True,,,,False
RTO.L,0,0,0,1,1,,,,,,,,,,,,0,0,0,0,1,0,1,,,,,,,,,,,,,,Reported,,,0,False,,,,,,,,,,216757.0,,False,,,,,,,,True,,ISO 14000,14.0,True,1,12000000,,,,,,True,,2000000,False,True,,,,False
RMV.L,0,0,0,0,1,,,,,,,,,,,,0,0,0,1,0,0,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,247.83,,False,,,,0.48,,,,False,,No,,True,,,,,,,,False,,,False,True,,,,False
SBRY.L,,,,,,,,,,,,,2.1791656523394,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,,False,0.0,36338.0,,,,,,,,855189.0,,False,,,,1.0,,,0.0,False,,No,,False,1,,,,,,,True,,34789649,True,True,,,,False
PHNX.L,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,13154.0,,False,,,,,,,,False,,No,,True,0,,,,,,,True,,,False,True,,,,False
IHG.L,0,0,0,1,1,,,,,,,,,,,,0,0,1,0,0,0,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,2224900.0,,False,,,,,,,,True,,No,,False,0,,,,,,,True,,,False,True,,,,False
BT.L,0,0,0,1,1,,,,,,,,0.537049833008378,,,,0,0,0,0,0,0,0,,,,,,,0.05380000273343,,0.006556340848828,0.000152031092147,,,,Reported,,345,,False,0.096142995028514,25429.0,,,,,,,,792867.0,,False,,,,0.825619249823072,,,2831.0,True,,Both,,True,1,,,,0.011716472371896,,,True,,,True,True,,,,False
MNDI.L,1,0,0,1,1,,,,,,,,93.7727391657883,3.10480929117913,0.000369741489831,0.127311923276851,0,0,1,1,0,0,1,,,,,,,2.37661057062061,,0.569218070119158,,,,,Reported,4.063,6255,1,True,2.74128458132179,1004330.0,,,3.5812202230639,,,,,2179010.0,,True,1399,,,0.624632440710139,,,26116.0,False,,ISO 14000,100.0,False,1,4000000,8760,,0.656560539752174,,,True,,0,True,True,,0.146847033591254,,False
BATS.L,1,0,0,1,1,,,,,,,,0.895390329503822,,,,1,1,1,1,1,0,1,,,,,,,0.012435976798664,,,,,,,Reported,,,,False,0.052310239115035,124250.0,,,,,,,,685000.0,,False,,,,0.843,,,1750.0,False,,ISO 14000,44.0,False,0,,,,,,,True,,,False,True,,,,False
PSON.L,0,0,0,0,1,,,,,,,,0.134629398566082,,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,33656.0,,False,,,,0.177,,,,True,,ISO 14000,,True,,,,,,,,False,,,False,True,,,,False
PCT.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Median,,,,False,,,,,,,,,,2865.06,,False,,,,,,,,False,,No,,False,,,,,,,,False,,,False,False,,,,False
SPX.L,,,,,,,,,,,,,0.375293239045938,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,0,False,,,,,,,,,,39893.0,,False,,,,0.88,,,,False,,ISO 14000,,False,0,,,,,,,True,,,False,False,,,,False
PSN.L,0,0,0,1,1,,,,,,,,,,,,0,0,0,0,1,0,1,,,,,,,,,,,,,,Reported,,,0,False,,,,,,,,,,27156.0,,False,,,,0.96,,,,False,,EMS,,False,0,,,,,,,True,,,False,True,,,,False
RIO.L,0,0,0,1,1,,,,,,,,7445.74889121354,,,0.503543927899501,1,1,1,0,1,1,1,,,,,,,62.676766856373,,0.491373681907973,,,,,Reported,,64600,1,True,148.324153076286,970639000.0,,,,,,,,26100000.0,,True,66200,,,0.017054916899842,,,8240000.0,True,,ISO 14000,,False,1,15759000000,109800,,1.16283255931166,,1.97645534074954,False,,609000000,True,True,,1.19163336573424,,False
