Instrument,Employee Safety Initiative Participation,Risk Assessment Health and Safety,Safety Performance Monitoring,Communication of Supply Chain Policy,Findings from Supplier Monitoring,Social Supply Chain Policy,Social Supply Policy Integration,Social Supply Risk Assessment,Policy Local Sourcing,Temporary Staff Proportion,Number of Employees,Part Time Employees,UNGC Violation Flag,Health & Safety Policy,Policy Employee Health & Safety,Policy Supply Chain Health & Safety,Training and Development Policy,Policy Skills Training,Policy Career Development,Policy Diversity and Opportunity,Targets Diversity and Opportunity,Employees Health & Safety Team,Health & Safety Training,Supply Chain Health & Safety Training,Supply Chain Health & Safety Improvements,Employees Health & Safety OHSAS 18001,Employee Satisfaction,Salary Gap,Salaries and Wages from CSR reporting,Net Employment Creation,Number of Employees  from CSR reporting,Trade Union Representation,Turnover of Employees,Announced Layoffs To Total Employees,Announced Layoffs,Management Departures,Strikes,Women Employees,New Women Employees,Women Managers,HRC Corporate Equality Index,Flexible Working Hours,Day Care Services,Employees With Disabilities,Employee Health & Safety Training Hours,Injuries To Million Hours,Total Injury Rate Total,Total Injury Rate Contractors,Total Injury Rate Employees,Accidents Total,Contractor Accidents,Employee Accidents,Occupational Diseases,Employee Fatalities,Contractor Fatalities,Lost Days To Total Days,Lost Time Injury Rate Total,Lost Time Injury Rate Contractors,Lost Time Injury Rate Employees,Lost Working Days,Employee Lost Working Days,Contractor Lost Working Days,HIV-AIDS Program,Average Training Hours,Training Hours Total,Training Costs Total,Training Costs Per Employee,Internal Promotion,Management Training,Supplier ESG training,Wages Working Condition Controversies,Wages Working Condition Controversies Count,Diversity and Opportunity Controversies,Employees Health & Safety Controversies,Recent Wages Working Condition Controversies,Recent Diversity Opportunity Controversies,Recent Employee Health & Safety Controversies,Employee Resource Groups,BBBEE Level,Gender Pay Gap Percentage,Voluntary Turnover of Employees,Involuntary Turnover of Employees,OHSMS Certified Percentage,Average Employee Length of Service,Ethnic Minorities Employees Percentage,Asian - Ethnic Minorities Employees Percentage,Black or African American - Ethnic Minorities Employees Percentage,Hispanic or Latino - Ethnic Minorities Employees Percentage,White - Ethnic Minorities Employees Percentage,Other - Ethnic Minorities Employees Percentage,Ethnic Minorities Managers Percentage,Asian - Ethnic Minorities Managers Percentage,Black or African American - Ethnic Minorities Managers Percentage,Hispanic or Latino - Ethnic Minorities Managers Percentage,White - Ethnic Minorities Managers Percentage,Other - Ethnic Minorities Managers Percentage,Ethnic Minorities Salary Gap
WBA.OQ,False,False,False,True,True,True,True,True,False,,200000,125000,True,True,True,True,True,True,True,True,True,True,True,False,False,True,,,,-0.990099009900991,325000,7.4,56.0,0.0,,False,False,71.0,,56.0,100,True,True,,,,,,,,,,,,,,,,,,,,True,,,,,True,True,True,False,,1,,,,,True,,,48.0,8.0,100.0,,51.0,,,,49.0,51.0,34.0,,,,66.0,34.0,
OMC.N,,,,,,,,,,,71700,,False,True,True,True,True,True,True,True,False,False,True,False,False,False,,137.731964045376,,11.8564742589704,71700,0.0,,0.0,,False,False,62.0,,58.5,100,False,False,,,,,,,,,,,,,,,,,,,,False,,,,,False,True,False,False,,,,,,,True,,,,,,,,,,,,,27.4,9.2,5.5,9.6,72.6,3.1,
GLW.N,,,,,,,,,,,61200,,False,True,True,True,True,True,True,True,False,True,True,True,False,True,,,,22.1313111155458,61200,66.0,9.7,0.0,,False,False,40.0,45.62738,31.0,90,False,False,,,2.5,2.5,,2.5,306.0,,306.0,,0,,,1.2,,1.2,,,,False,,,,,False,True,True,False,,,,,,,True,,100.0,6.4,3.3,,,26.3,9.2,11.4,4.4,73.7,1.3,24.9,14.1,5.6,3.9,75.1,1.3,100.0
CRM.N,False,False,False,False,False,False,False,False,False,,56606,,False,True,True,True,True,True,True,True,True,False,True,True,True,True,91.0,,,15.5224489795918,56606,0.0,,0.0,0,False,False,33.7,,25.4,100,False,True,,,,,,,,,,,,,,,,,,,,False,,,,,False,True,True,False,,,,,,,True,,,,,,,37.4,26.2,3.4,4.5,62.6,3.3,25.2,17.3,2.3,3.1,74.8,2.5,
SBUX.OQ,False,False,False,True,True,True,True,True,False,,383000,,True,True,True,True,True,True,True,True,True,False,True,True,False,False,,,,9.74212034383955,,,,0.0,,False,False,71.3,,54.0,100,False,True,,,,,,,,,,,,,,,,,,,,True,,,,,False,True,True,False,,1,,,,,True,,100.0,,,,,48.2,5.9,7.7,28.5,51.8,6.1,,,,,,,
ATO.N,,,,,,,,,,,4684,,False,True,True,False,True,True,True,True,False,False,True,False,False,True,,,,-0.213037920749892,,0.0,,0.0,,False,False,23.0,31.0,,,False,False,,88000.0,12.0,12.0,,12.0,112.0,,112.0,,,,,7.2,,7.2,,,,False,46.114,216000.0,,,False,False,False,False,,,,,,,False,,,,,,,34.0,1.0,13.0,18.0,66.0,2.0,,,,,,,
ETR.N,,,,,,,,,,,12369,,False,True,True,True,True,True,True,True,False,False,True,False,False,False,,,,-7.69402985074627,12369,27.31,4.24,0.0,,False,False,21.42,,22.15,90,False,False,,,2.25,,3.55,2.25,,,56.0,,1,2,,,0.84,0.44,,,,False,,,,,False,True,True,False,,,,,,,False,,,4.24,,,,23.54,,,,,,18.34,,,,,,
HAL.N,,,,,,,,,,,40000,,False,True,True,True,True,True,True,True,False,True,True,True,False,True,80.5,,,0.0,42172,18.0,13.0,0.0,,False,False,13.0,19.0,14.0,20,True,False,,550180.0,1.19568,,,1.19568,165.0,8,157.0,,0,0,,,0.05,0.4,,,,False,33.949,1431684.0,,,False,True,True,False,,,,,,,True,,,10.0,3.0,39.0,,37.0,,,,,,28.0,,,,,,
TFC.N,False,False,False,False,False,True,False,False,False,,52848,2278,False,True,True,True,True,True,True,True,False,True,True,False,False,True,,111.276193670631,,5.10112761768391,54968,0.0,20.64503,0.0,,False,False,62.9,62.85714,52.8,100,True,False,,,,,,,,,,,,,,,,,,,,False,37.6,2339609.27,,,True,True,False,False,,,,,,,True,,,,,,,39.5,6.1,19.5,10.6,60.5,3.3,,,,,,,
TAP.N,,,,,,,,,,,16300,,False,True,True,True,True,True,True,True,False,False,True,False,False,True,,,,-4.11764705882353,15066,,11.4,0.0,,False,False,26.7,,34.1,100,True,False,,,,,,,,,,,,1,,3.55,,,,,,False,22.11,333148.0,,,True,True,False,False,,,,,,,True,,95.87,,,,,28.4,,,,,,,,,,,,
ABT.N,False,True,False,True,False,True,True,True,True,,113000,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,3.6697247706422,113000,,16.0,0.0,,False,False,45.0,,40.0,95,True,True,,,1.5,1.5,,,339.0,,,0.1,0,0,,0.65,0.6,0.65,,,,True,28.0,3164000.0,25651000.0,227.0,True,True,False,False,,,,,,,True,,89.0,12.0,4.0,,,41.5,19.3,9.0,10.9,58.5,2.3,33.0,,,,,,
V.N,False,False,False,False,False,True,False,False,False,,21500,,True,True,True,True,True,True,True,True,False,True,True,False,False,False,76.0,156.913683254717,,4.87804878048781,21500,,9.3,0.0,,False,False,42.0,,35.0,100,True,True,,,,,,,,,,,,,,,,,,,,False,10.698,230000.0,,,True,True,False,False,,,,,,,True,,100.0,9.3,,,,63.0,41.0,7.0,12.0,37.0,3.0,,,,,,,100.0
YUM.N,False,False,False,False,False,True,False,True,False,,36000,,False,True,True,True,True,True,True,True,True,True,True,False,True,True,88.0,,,-5.26315789473685,32000,15.0,,0.0,,False,False,51.0,,47.0,100,True,True,,,,,,,,,,,,,,,,,,,,False,187.5,6000000.0,,,True,True,True,False,,,,,,,True,,,,,,,53.0,,,,,,,,,,,,
LYV.N,False,False,False,False,False,False,False,False,True,,10200,,False,True,True,False,True,True,True,True,False,False,False,False,False,False,,,,24.390243902439,,,,0.0,,True,False,,,,100,True,False,,,,,,,,,,,,,,,,,,,,False,,,,,False,True,False,False,,,,,,,True,,,,,,,,,,,,,,,,,,,
CPB.OQ,True,False,True,True,False,True,True,True,False,34.47,14700,,False,True,True,True,True,True,True,True,False,True,True,True,False,False,,,,4.25531914893618,14428,14.0,38.0,0.0,,False,False,39.0,36.79632,41.0,90,True,True,,,6.6,6.6,,6.6,190.0,,190.0,,0,,,1.5,,1.5,,,,False,,,,,False,True,False,False,,,,,,,True,,,20.0,18.0,,,45.94,4.57,21.78,13.67,54.06,5.92,20.12,7.43,5.26,5.33,79.88,2.1,
