Instrument,Corruption Due Diligence,Corruption Intermediaries Procedures,Corruption Oversight,Corruption Procedures for High Risk Operations,Corruption Risk Assessment,Corruption Training,Principles for Community Investments,Supplier Policy Animal Welfare,Corruption Fines,Lobbying Controversies,Recent Lobbying Controversies,Policy Fair Competition,Policy Bribery and Corruption,Policy Business Ethics,Policy Community Involvement,Improvement Tools Business Ethics,Whistleblower Protection,OECD Guidelines for Multinational Enterprises,Extractive Industries Transparency Initiative,Total Donations To Revenues in million,Donations Total,Political Contributions,Lobbying Contribution Amount,Employee Engagement Voluntary Work,Corporate Responsibility Awards,Product Sales at Discount to Emerging Markets,Diseases of the Developing World,"Bribery, Corruption and Fraud Controversies",Intellectual Property Controversies,Crisis Management Systems,Anti-competition Controversies,Public Health Controversies,Business Ethics Controversies,Tax Fraud Controversies,Anti-Competition Controversies Count,Critical Countries Controversies,Critical Country 1,Critical Country 2,Critical Country 3,Critical Country 4,Critical Country 5,Recent Public Health Controversies,Recent Business Ethics Controversies,Recent Tax Fraud Controversies,Recent Anti-Competition Controversy,Recent Critical Countries Controversies,Recent Intellectual Property Controversies
ESS.N,,,,,,,,,,,,False,False,True,True,True,True,False,False,140.482867773644,202374,,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
KHC.OQ,True,True,False,False,False,True,True,True,,,,True,True,True,True,True,True,False,False,,,40000.0,,True,True,False,False,True,1,True,True,,,,2,,,,,,,,,,,,
BLDR.N,False,False,False,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,281.4933220736,5600000,,,True,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
JBHT.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,576.318220293714,7012813,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
CMI.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,1486.19957537155,35700000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
PNR.N,False,True,False,False,False,True,True,False,,,,True,True,True,True,True,True,False,False,599.252753651317,2470000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
CRL.N,,,,,,,,,,,,True,True,True,True,True,True,True,False,793.492666998102,2809091,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
DECK.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,836.597083641049,2129675,0.0,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
HPQ.N,True,True,True,True,True,True,True,False,,,,True,True,True,True,True,True,True,False,457.926252757643,29060000,2140000.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
ROP.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
LW.N,,,,,,,,,,,,False,True,True,True,True,True,False,False,227.628102100302,835600,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
TGT.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,2618.61245604472,245000000,296400.0,,True,True,False,False,True,,True,True,,,,2,,,,,,,,,,,,
