Instrument,Environmental Data Assurance Standard,Policy Resource Efficiency,Targets Resource Use,Facilities Water Withdrawal,Water Incidents,Water Management Plan Details,Water Stressed Targets,Water Use Target,Supplier Environmental Commitment,Supplier Environmental Due Diligence,Supplier Environmental Policy Communication,Supplier Environmental Policy Training,Supplier Environmental Risk Assessment,Target Sustainable Palm Oil Supply Chain,Total Water Usage Properties,Water Stressed Sites,Water Stressed Sites Percent,Water Withdrawal in Stressed Regions,Water Withdrawal in Stressed Regions Percent,Certified Palm Oil Percent Supply Chain,Electricity Produced from Nuclear,Electricity Produced from Coal,Electricity Produced from Oil,Electricity Produced from Gas,Electricity Produced from Combined Cycle Gas Turbine,Electricity Produced from Biomass,Electricity Produced from Hydro,Electricity Produced from Geothermal,Electricity Produced from Solar,Electricity Produced from Wind,Electricity Produced from Other Renewables,Renewable Electricity Produced Without Bifurcation,Total Energy Use from Properties,Energy Consumption External Assurance,Energy Consumption International Assurance Standard,Deforestation Controversies Count,Recent Deforestation Controversies Count,Water and Marine Resource Controversies Count,Recent Water and Marine Resource Controversies Count,Extraction Virgin Natural Resources ControversiesCount,Recent Extraction Virgin Natural Resources ControversiesCount,Exposure To Supply Risk ControversiesCount,Recent Exposure To Supply Risk ControversiesCount,ResourceUse Controversies count,Recent ResourceUse Controversies count,Biodiversity and Ecosystem Controversies Count,Recent Biodiversity and Ecosystem Controversies Count,Total Energy Use To EVIC USD in million,Water Use To EVIC USD in million,Electricity Purchased Per Tonne of Aluminum Production,Electricity Purchased Per Tonne of Chlorine Production,Resource Reduction Policy,Policy Water Efficiency,Policy Sustainable Packaging,Policy Environmental Supply Chain,Resource Reduction Targets,Targets Water Efficiency,Environment Management Team,Environment Management Training,Environmental Materials Sourcing,Toxic Chemicals Reduction,Total Energy Use To Revenues USD in million,Renewable Energy Use Ratio,Renewable Energy Supply,Energy Use Total,Energy Purchased Direct,Electricity Purchased,Electricity Produced,Cement Energy Use,Renewable Energy Purchased,Renewable Energy Produced,Renewable Energy Use,Green Buildings,Water Use To Revenues USD in million,Water Withdrawal Total,Fresh Water Withdrawal Total,Water Recycled,Environmental Supply Chain Management,Environmental Supply Chain Monitoring,Env Supply Chain Partnership Termination,Land Environmental Impact Reduction,Environmental Controversies,Environmental Controversies Count,Recent Environmental Controversies,Total Renewable Energy,Total Renewable Energy To Energy Use in million,Grid Loss Percentage,Coal Produced (Raw Material in Tonnes) Total
CCH.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.6479446614,1649.32721237033,,,True,True,True,True,True,True,True,True,True,False,870.532296704031,0.242599379757542,,7094000.0,7093910.2,3095000.0,89.8,,1721000.0,89.8,True,False,3236.33327614539,26373000.0,25456000.0,1349000.0,True,True,True,False,False,,,1721089.8,242612.038342261,,
ALWA.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03136475612015,,,,True,False,False,False,False,False,False,False,False,False,,,,139.5108,139.5108,,,,,,False,False,,,,,False,,False,False,False,,,,,,
RR.L,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,388735.2,,True,True,,,,,,,,,,,,,379.654806254966,148.899152451273,,,True,True,False,True,True,False,False,True,True,True,550.466484274978,0.126761864881582,,8648733.6,7893414.0,2245899.6,755319.6,,1096329.6,388735.2,True,False,215.890834544924,3392000.0,3392000.0,,True,True,True,False,False,,,1485064.8,171708.930889026,,
SN.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0153055753066,27.5277559554297,,,True,True,True,True,False,False,True,True,False,False,167.368421052632,,,763200.0,763200.0,,,,,,True,False,131.578947368421,600000.0,,,True,True,False,False,False,,,,,,
SSE.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24694.6973741144,,,True,True,False,True,True,True,True,True,True,False,,,0.377112148773981,,1229.076,1215.216,102650400.0,,376.416,38710800.0,True,False,86193.1658972215,727900000.0,14200000.0,,True,True,False,False,False,,,38711176.416,,,
SMT.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,False,False,,,,,False,,False,False,False,,,,,,
KGF.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.915334691497,,,,True,True,True,True,True,False,True,True,True,True,282.626845297871,,,4294800.0,4294800.0,,,,,,True,True,,,,,True,True,False,False,False,,,,,,
LLOY.L,True,False,False,False,False,True,False,True,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,10.4526022046508,4.82464651767618,,,True,True,False,True,True,True,True,True,True,False,44.6885016993602,0.701923076923077,,1872000.0,1872000.0,1314000.0,,,1314000.0,,True,False,20.6270381176519,864066.01,864066.01,,True,,True,False,False,,,1314000.0,701923.076923077,,
NWG.L,False,True,True,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,8.30117565480682,2.30881121984706,,,True,False,False,True,True,False,True,False,False,False,86.9361327812367,0.727027027027027,,1332000.0,1332000.0,,,,968400.0,,True,False,24.1796014350336,370470.0,370470.0,,True,True,False,False,False,,,968400.0,727027.027027027,,
SDR.L,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,5.74371150247353,1.7038628007568,,,True,True,False,True,False,False,True,True,True,False,22.2710726488885,,,76514.8248,76514.8248,,,,,,True,True,6.60667796477097,22698.0,,,True,,True,False,False,,,,,,
