Instrument,Environmental Data Assurance Standard,Policy Resource Efficiency,Targets Resource Use,Facilities Water Withdrawal,Water Incidents,Water Management Plan Details,Water Stressed Targets,Water Use Target,Supplier Environmental Commitment,Supplier Environmental Due Diligence,Supplier Environmental Policy Communication,Supplier Environmental Policy Training,Supplier Environmental Risk Assessment,Target Sustainable Palm Oil Supply Chain,Total Water Usage Properties,Water Stressed Sites,Water Stressed Sites Percent,Water Withdrawal in Stressed Regions,Water Withdrawal in Stressed Regions Percent,Certified Palm Oil Percent Supply Chain,Electricity Produced from Nuclear,Electricity Produced from Coal,Electricity Produced from Oil,Electricity Produced from Gas,Electricity Produced from Combined Cycle Gas Turbine,Electricity Produced from Biomass,Electricity Produced from Hydro,Electricity Produced from Geothermal,Electricity Produced from Solar,Electricity Produced from Wind,Electricity Produced from Other Renewables,Renewable Electricity Produced Without Bifurcation,Total Energy Use from Properties,Energy Consumption External Assurance,Energy Consumption International Assurance Standard,Deforestation Controversies Count,Recent Deforestation Controversies Count,Water and Marine Resource Controversies Count,Recent Water and Marine Resource Controversies Count,Extraction Virgin Natural Resources ControversiesCount,Recent Extraction Virgin Natural Resources ControversiesCount,Exposure To Supply Risk ControversiesCount,Recent Exposure To Supply Risk ControversiesCount,ResourceUse Controversies count,Recent ResourceUse Controversies count,Biodiversity and Ecosystem Controversies Count,Recent Biodiversity and Ecosystem Controversies Count,Total Energy Use To EVIC USD in million,Water Use To EVIC USD in million,Electricity Purchased Per Tonne of Aluminum Production,Electricity Purchased Per Tonne of Chlorine Production,Resource Reduction Policy,Policy Water Efficiency,Policy Sustainable Packaging,Policy Environmental Supply Chain,Resource Reduction Targets,Targets Water Efficiency,Environment Management Team,Environment Management Training,Environmental Materials Sourcing,Toxic Chemicals Reduction,Total Energy Use To Revenues USD in million,Renewable Energy Use Ratio,Renewable Energy Supply,Energy Use Total,Energy Purchased Direct,Electricity Purchased,Electricity Produced,Cement Energy Use,Renewable Energy Purchased,Renewable Energy Produced,Renewable Energy Use,Green Buildings,Water Use To Revenues USD in million,Water Withdrawal Total,Fresh Water Withdrawal Total,Water Recycled,Environmental Supply Chain Management,Environmental Supply Chain Monitoring,Env Supply Chain Partnership Termination,Land Environmental Impact Reduction,Environmental Controversies,Environmental Controversies Count,Recent Environmental Controversies,Total Renewable Energy,Total Renewable Energy To Energy Use in million,Grid Loss Percentage,Coal Produced (Raw Material in Tonnes) Total
CARR.N,,,,,,,,,,,,,,,,,,270340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVRG.OQ,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,1202187.0,2.08965,,30394947.6,90635414.4,410475.6,9929905.2,,207964.8,750654.0,,24073.2,56725642.79995,,,,False,False,,,,,,,,,,,,,,2167.94756034967,,,True,True,False,False,False,False,True,True,False,False,,,0.303074085743728,,,,188500298.4,,,57129555.6,True,True,9819.02701438788,57530661.18,57530661.18,,False,,False,False,False,,,57129555.6,,,
SMCI.OQ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,True,True,False,True,False,False,False,False,False,True,,,,,,,,,,,False,False,,,,,True,,False,False,False,,,,,,
COST.OQ,False,True,False,False,False,False,False,False,True,False,True,False,False,True,,,,,,100.0,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,97.3086020197637,64.3376910100501,,,True,True,True,True,False,False,True,True,True,True,100.033018283875,0.085,,24237000.0,24237000.0,14639148.0,,,2060145.0,,True,True,66.138997864171,16024817.79251,,,True,True,True,False,True,1,,2060145.0,85000.0,,
MCO.N,True,True,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,1.78267076189515,,,,True,False,False,True,False,False,True,True,True,False,19.1054133138259,0.737654640063407,,104468.4,104468.4,77061.6,,,77061.6,,True,True,,,,,True,True,False,False,False,,,77061.6,737654.640063407,,
DIS.N,False,True,True,False,False,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,88.1315743684294,129.435617484147,,,True,True,True,True,True,True,True,True,True,True,249.264031333865,0.04385027634264,,20619619.2,20616080.4,7119057.6,3538.8,,904176.0,3538.8,True,True,366.08495926114,30283280.0,30283280.0,,True,True,False,False,False,,,907714.8,44021.8992987029,,
LULU.OQ,False,True,True,False,False,False,False,False,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,,6.41005794947773,,,,True,True,True,True,True,True,False,False,True,False,41.8510514548038,0.817171925482918,,261846.0,261846.0,213973.2,,,213973.2,,True,False,,,,,True,True,False,False,False,,,213973.2,817171.925482917,,
PAYX.OQ,False,True,False,False,False,False,False,False,True,False,False,False,False,False,,,,0.0,0.0,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,3.57384401174407,1.66561051815725,,,True,True,False,True,False,False,False,False,False,False,27.5764094985121,,,138077.84,138077.84,93106.38,,,,,False,True,12.8521439555831,64351.97,,,True,True,False,False,False,,,,,,
WSM.N,False,False,False,False,False,False,False,False,True,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,85.2862406726316,,,,True,False,True,True,False,False,True,True,True,True,116.812686000626,0.008177482770477,,963230.4,963230.4,634629.6,0.0,,7876.8,0.0,True,False,,,,,True,True,False,False,False,,,7876.8,8177.48277047734,,
AMD.OQ,True,False,False,True,True,True,False,False,True,True,True,True,True,False,,3,66.0,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,6.99944396161158,1.71060128869514,,,True,True,True,True,True,True,True,True,True,True,31.727469175035,,,748800.0,,,,,,,True,True,7.75390873268082,183000.0,183000.0,,True,True,False,False,False,,,237600.0,317307.692307692,,
REG.OQ,True,False,False,False,False,True,False,True,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,291153.6,True,False,,,,,,,,,,,,,,106.774415571754,,,True,True,False,True,True,True,True,False,False,False,,,,,291153.6,250210.8,,,45640.8,,True,False,1265.13210568455,1548547.0,1548547.0,,True,True,False,True,False,,,,,,
DHI.N,False,True,False,False,False,False,False,False,True,False,False,False,False,False,,171200,29.87,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,True,False,False,True,False,False,False,False,True,False,,,,,,,,,,,False,False,,,,,False,,False,False,False,,,,,,
TTD.OQ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,False,False,,,,,False,,False,False,False,,,,,,
TRV.N,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,True,True,False,True,False,False,True,False,True,False,,,,,,,,,,,True,True,,,,,True,True,False,False,False,,,,,,
MOS.N,True,True,False,False,True,False,False,True,True,True,True,False,False,False,,2,,719420.0,0.22629,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,6688.46227227569,17074.0534291325,,,True,True,False,True,True,True,True,True,False,False,6511.82732729592,0.033322627268348,,124540000.0,114140000.0,13460000.0,10400000.0,,4150000.0,3900000.0,True,True,16623.1464246126,317921000.0,308631000.0,,True,,True,True,False,,,8050000.0,64637.8673518548,,
WDC.OQ,False,False,False,False,True,False,False,False,True,True,False,True,True,False,,,,3679140.3672,20.4,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,377.253907586103,874.647108886164,,,True,True,True,True,True,True,True,True,True,True,413.924333528441,0.216540170307294,,7778880.0,7778880.0,7186320.0,,,1684440.0,,True,False,959.665928803278,18035001.8,18035001.8,3622920.6,True,True,True,False,False,,,1684440.0,216540.170307294,,
VTR.N,True,False,False,False,False,False,False,True,True,False,False,False,False,False,12896914.55,,,,,,,,,,,,,,,,,,5288778.0,True,True,,,,,,,,,,,,,,,,,True,True,False,True,True,True,True,True,True,False,,,,,5287888.8,3275416.8,889.2,,75078.0,889.2,True,False,,,,,True,True,False,False,False,,,75967.2,,,
IVZ.N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,4.35935737929377,3.42614568952889,,,True,True,False,True,False,False,True,True,False,False,15.7822675197143,,,95465.358,95465.358,90390.6252,,,,,True,True,12.4037428292747,75029.0,75029.0,810.0,True,,False,False,False,,,,,,
ZBRA.OQ,False,True,False,False,False,False,False,False,True,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,8.49838348384293,,,,True,False,True,True,False,False,True,True,True,True,22.4350804359107,0.138174147167402,,129697.2,129697.2,94377.6,,,17920.8,,True,False,,,,,True,,True,False,False,,,17920.8,138174.147167402,,
AMAT.OQ,False,True,False,True,False,True,False,False,True,False,True,True,True,False,,,,306670.0,13.0,,,,,,,,,,565.2,,,,,True,True,,,,,,,,,,,,,25.9629097333821,28.4735025853316,,,True,True,True,True,True,False,True,True,True,False,83.4205933682373,0.533929707112971,,2151000.0,2150434.8,1670558.4,565.2,,1148482.8,565.2,True,False,91.4872988171417,2359000.0,2359000.0,,True,True,True,False,False,,,1149048.0,534192.468619247,,
STX.OQ,True,True,False,False,True,True,False,True,True,True,True,True,True,False,,3,,788832.0,9.9,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,285.983222292556,388.880785233396,,,True,True,True,True,True,True,True,True,True,True,502.501775147929,,,5859673.2,5853135.6,5587815.6,6537.6,,,6537.6,True,False,683.303318754824,7968000.0,5003000.0,3557000.0,True,True,False,False,False,,,6537.6,1115.69361922778,,
FDS.N,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,4.16150756103858,,,,True,True,False,True,False,False,True,False,True,False,41.6186913333319,,,76740.372,76740.372,,,,,,False,True,,,,,True,True,False,False,False,,,,,,
KVUE.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYK.N,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,True,True,False,True,False,False,True,True,True,False,,,,,,,,,,,True,True,,,,,True,,True,False,False,,,,,,
DELL.N,False,False,True,False,False,True,False,True,True,True,True,False,True,False,,,,39000.0,2.19348,,,,,,,,,,5040.0,,,,,True,True,,,,,,,,,,,,,54.6530436638305,25.3927855216606,,,True,True,True,True,True,True,False,True,True,True,37.8153502574187,0.470931326434619,,3826800.0,3821760.0,3260160.0,5040.0,,1802160.0,5040.0,True,True,17.5696908011107,1778000.0,1778000.0,,True,True,True,False,False,,,1807200.0,472248.353715898,,
VRSN.OQ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,True,True,,,,,False,,False,False,False,,,,,,
TECH.OQ,False,True,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,True,True,True,True,False,False,True,True,True,True,,,,,,,,,,,True,False,,,,,True,True,True,False,False,,,,,,
NVR.N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,True,True,False,False,False,False,False,True,False,False,,,,,,,,,,,False,False,,,,,False,,False,False,False,,,,,,
JBL.N,True,True,False,False,False,True,False,True,True,True,True,True,True,False,,22,21.782,12738544.0,75.491,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,675.884208011492,930.349381394533,,,True,True,False,True,True,True,True,True,True,False,353.259673794018,0.620538660124567,,12258817.2,12258817.2,11018455.2,,,7607070.0,,True,True,486.259206962135,16874167.0,,,True,True,True,False,False,,,7607070.0,620538.660124567,,
XYZ.N,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,2.1199164157934,,,,True,False,True,True,False,False,False,False,False,False,8.15683896728802,0.880278539793323,,143002.332,143002.332,125921.988,,,125881.884,,True,True,,,,,True,True,True,False,False,,,125881.884,880278.539793323,,
LOW.N,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,1036144.8,,,False,False,,,,,,,,,,,,,109.880348223613,52.9877565113523,,,True,True,True,True,False,False,False,True,True,False,207.968166233766,,,20016936.0,18980791.2,10571090.4,1036144.8,,,1036144.8,True,False,100.288784415584,9652795.5,,,True,True,True,False,False,,,1036144.8,51763.4067471665,,
BSX.N,False,False,False,False,False,False,False,False,True,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,30.4971077022544,11.4482436378823,,,True,True,True,True,False,False,True,True,True,False,180.856945907586,0.253461508899368,,2293627.788,2293627.788,887584.932,,,581346.36,,True,True,67.8914997634443,861000.0,861000.0,,True,True,False,False,False,,,581346.36,253461.508899368,,
SYY.N,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,True,True,True,True,False,False,True,False,True,False,,,,,,,,,,,False,False,,,,,False,True,True,False,False,,,,,,
FCX.N,True,True,False,True,True,True,False,False,True,False,False,False,True,False,,,,66701000.0,22.86771,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,1307.35937476218,3928.35418194106,,,True,True,False,True,False,False,True,True,False,True,4261.2818261633,0.148951293884951,,97072000.0,97072000.0,35875000.0,,,14459000.0,,True,False,12804.3020193152,291682000.0,256962000.0,245012880.0,True,True,False,True,False,,,14459000.0,148951.293884951,,
MAS.N,False,True,False,False,False,False,False,False,True,False,False,False,False,False,,21,,206800.0,22.0,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,114.988423569409,67.5556988470278,,,True,True,True,True,False,False,True,False,False,False,184.331797235023,,,1600000.0,1600000.0,770000.0,7700.0,,,,False,False,108.294930875576,940000.0,940000.0,,True,,False,False,False,,,,,,
BEN.N,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,18.6350489706236,,,,True,True,False,True,False,False,True,True,True,True,49.3362657547159,,,408272.4,408139.704,187560.0,132.696,,,132.696,True,True,,,,,False,,False,False,False,,,132.696,325.018296607853,,
META.OQ,True,False,False,True,False,True,True,False,True,False,False,True,False,False,,,,1130181.0,23.09781,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,130.486705848765,15.0016714648226,,,True,True,True,True,True,True,True,True,True,False,364.982299822484,0.973427078773863,,42560221.0,42560221.0,41429271.6,,,41429271.6,,True,True,41.960937834987,4893023.0,4893023.0,265906.0,True,True,False,False,False,,,41429271.6,973427.078773863,,
PAYC.N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,,,,,,109839.6,,,109839.6,,True,False,,,,,False,,False,False,False,,,109839.6,,,
EXPE.OQ,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,6.47720711895104,,,,True,True,False,True,False,False,False,False,False,False,14.7647013007244,0.6048,,189564.0,189564.0,136486.08,,,114648.3072,,True,True,,,,,True,,False,False,False,,,114648.3072,604800.0,,
